url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1526995398879451-1137251780998-049889-003-1464-1452-228-124.jpeg	2018-05-22 15:23:18	35.524	0.5371263963412733	0.0800590623012596	0.04300183562833706	-0.7705382415668444	0.8435017690280426	0.9246501614639397	0.0006201162298640603	0.0026415968000000002	0.04639038310555114	2.2865019951197677e-09	3.862580549701468e-19	5.2659440820234924e-12	3.735783407688752e-19	45.55518808629314	0.003599546327164041	5.9369721227517625e-06	2.4155518046743832e-11	32.0	0.15071229584994644	48.69266589057043	16.0	64.0	0.044155559438116866	2.017029674358369e-09	2.068571587274965e-19	4.5853995916585144e-12	4.357925171627414e-19	42.49486763723726	0.003605941684980799	5.85391629073066e-06	2.8357559769466873e-11	32.0	0.14350008064407754	47.964348079161816	17.0	64.0	0.04555734373144466	2.168500426238913e-09	2.7929453468108507e-19	4.942032630088309e-12	4.385822325824006e-19	46.49936833164733	0.003585667803160373	5.879872143186329e-06	2.6513288647814515e-11	31.0	0.14808613065871906	48.898573923166474	16.0	65.0	0.04841193756886386	2.446656209665179e-09	5.905460920427138e-19	5.6185729939155996e-12	2.4921254764060247e-19	48.382692326080225	0.0035455389707390148	5.8222579517621964e-06	2.8052147588771277e-11	32.0	0.15716247591652455	50.218422584400464	16.0	65.0
images/00000/SPC-EAWAG-0P5X-1526953331094872-1095184606802-061209-027-1638-226-156-168.jpeg	2018-05-22 03:42:11	33.666	0.511614471873645	0.07903100061709839	0.0404334036423625	68.8617762201445	0.8592151256637952	0.8872767857142857	0.0005412110967306097	0.002444784	0.05055623863161499	1.1747578748336696e-08	1.3006889918086716e-16	4.130672918100244e-11	1.5203375552570886e-17	43.444889290884504	0.004855843057250902	1.2721335848707645e-05	1.057779764030559e-08	29.0	0.12857461207719617	45.78443396226415	15.0	60.0	0.053666634872223715	1.260397612063615e-08	1.482759525364825e-16	4.438312383331012e-11	1.3827613570958668e-17	40.44357724228514	0.004868129248002363	1.2630000323073104e-05	1.1075907436623322e-08	29.0	0.13627290345197882	44.58364779874214	16.0	58.0	0.048893767087685	1.1313009886597515e-08	1.2016651623193395e-16	3.9584553888869576e-11	1.472243298255275e-17	44.64066460919819	0.004834950945261396	1.259957413085408e-05	1.0122853062838896e-08	28.0	0.12423242494987125	46.00754716981132	14.0	61.0	0.04825230792976182	9.968609935450042e-09	9.486878560359489e-17	3.413646290969976e-11	1.300703047575355e-17	46.30589006795958	0.004749014073453424	1.2233453115849962e-05	9.256161448681368e-09	29.0	0.12300679289745786	47.7625786163522	15.0	63.0
images/00000/SPC-EAWAG-0P5X-1526992236581536-1134089518133-018269-022-3348-1046-160-208.jpeg	2018-05-22 14:30:36	38.368	0.4936792699135826	0.07838177753987356	0.038695458710413626	-61.34538983398734	0.869644052735136	0.8946357322299394	0.0004916134046209363	0.0023271576	0.014106142612538158	1.2285520609769813e-09	1.236803534004905e-18	2.6548273626643605e-12	1.1436102165964151e-20	37.91975726816297	0.0033244303027017666	5.0507248383882895e-06	8.250074497031595e-10	51.0	0.03961018571924828	55.28939544103072	21.0	83.0	0.0112064026939688	1.0519940251708507e-09	8.38517420742098e-19	2.5366677720419313e-12	-8.27181698279413e-21	34.31297506814061	0.0036079705808795227	6.124691588289028e-06	6.039856507678654e-10	48.0	0.030785060593582082	51.3397753551371	20.0	76.0	0.013177019448215857	1.2324559392866157e-09	1.2587827439368553e-18	2.6306901845938262e-12	8.863611551206303e-21	39.9969818496959	0.0032842150616526245	4.944756317570837e-06	8.464647706979305e-10	51.0	0.03801288086562275	56.070036339610176	20.0	83.75	0.017380750256689993	1.2148196710546608e-09	1.2537621109203345e-18	2.364452058399739e-12	1.8889634287499323e-20	40.831731792157434	0.0030697208186732912	4.1705630355653074e-06	8.769875076250227e-10	54.0	0.048482877983119864	59.45341922695739	22.0	90.0
images/00000/SPC-EAWAG-0P5X-1536796940255576-2479505628038-001299-036-700-1324-164-88.jpeg	2018-09-13 02:02:20	22.998	0.4462498098621256	0.0779899176592759	0.0348029859266147	19.51552930647217	0.8949084350915555	0.7089102459683988	0.00039569456298517804	0.0016729088000000001	0.03447251099097428	3.620596198036343e-09	1.7601383966841737e-17	2.1212306779003915e-12	-2.0996073484561658e-17	33.06884807525203	0.0038210485441644883	6.235049586924051e-06	1.5815890151631102e-08	43.0	0.06668879580297755	55.99954044117647	31.0	76.0	0.0375620862558205	4.596203814443286e-09	2.4695732395140668e-17	1.4693172258740965e-12	-3.8463214807662936e-17	31.282181498626503	0.004135499554874014	6.9451836889530215e-06	2.151803309497968e-08	37.0	0.07146471991331388	49.05491727941177	26.0	69.0	0.033225374965858326	3.540448103152141e-09	1.7144440530042925e-17	2.268347573976659e-12	-1.9532029351258675e-17	33.19687358381516	0.0037859815941760928	6.118023643857799e-06	1.5219729773747167e-08	44.0	0.06312402880089812	56.80124080882353	32.0	77.0	0.03271755077920656	2.825001554212244e-09	1.1449006325144366e-17	2.0136203298990966e-12	-1.1643215652362217e-17	35.82588632340117	0.0035265807808810947	5.5111185770902586e-06	1.1827040803261559e-08	50.0	0.06529981900238055	63.107766544117645	36.75	85.0
images/00000/SPC-EAWAG-0P5X-1526993849738531-1135702652226-034399-019-660-282-144-192.jpeg	2018-05-22 14:57:29	34.32	0.5392719109147963	0.0766731518879377	0.041347677134468595	72.61376480871012	0.8421317035347287	0.8833379849288306	0.0005490781462119273	0.002433252	0.042400478808952514	3.6282074345838633e-09	-2.345325017586494e-18	1.182386530625725e-11	1.1505921619034962e-17	32.18179137522391	0.005153301117478092	1.062889599689273e-05	2.8869968407041e-09	25.0	0.11557127078035163	36.396366508688786	13.0	51.0	0.04523291330887364	5.134274033626256e-09	-1.8286057443729777e-18	1.832283876330714e-11	1.6816546000260986e-17	28.218550575152175	0.005544302805673796	1.2842380286048965e-05	2.114177597011559e-09	24.0	0.12296926292481472	33.124960505529224	13.0	45.0	0.04235999055077762	3.438925199022381e-09	-2.3900163016315823e-18	1.1224979796520085e-11	1.0045104849367779e-17	33.255387430592116	0.0051332411601717675	1.068489015502079e-05	2.6215337692801396e-09	24.0	0.11367228821602997	36.65892575039494	13.0	51.75	0.03934851308881258	2.3857891292211023e-09	-1.327773240331451e-18	6.926651027443547e-12	6.5310274398576735e-18	36.626201116105115	0.0047150250755202475	8.459898295578459e-06	3.270815152462534e-09	26.0	0.10895275924313512	40.39873617693523	14.0	57.0
images/00000/SPC-EAWAG-0P5X-1527064155173486-1206007074222-033889-022-2596-972-124-216.jpeg	2018-05-23 10:29:15	34.266	0.550864020290674	0.07554760692912404	0.041616458476316856	-75.88230564493402	0.8345950102589853	0.9122098890010091	0.0005480744542602305	0.0024324832	0.04338778630659088	1.3531827315730362e-09	1.3502442296743926e-18	2.1830743809090572e-12	-1.8657968106968828e-19	45.71327401234304	0.0027637153129594083	2.65706328971374e-06	7.498418871184456e-10	43.0	0.13402936841853794	57.48909608091024	20.0	87.0	0.0450156880284926	1.5360312160123972e-09	1.7320897912405245e-18	2.5475761319036802e-12	-2.003603725077076e-19	42.81536556000253	0.002823855703945812	2.7846271653465256e-06	8.38906116292813e-10	43.0	0.1382100239225887	55.86946902654867	21.0	83.0	0.043321599857003464	1.3176621689148591e-09	1.2693013866938743e-18	2.1183956557581447e-12	-1.8565175923079605e-19	47.28501566536725	0.0027491540379575253	2.636682932629707e-06	7.193000499419926e-10	42.0	0.1325559988843103	57.973293299620735	19.0	89.0	0.04129427420825583	1.1515373116799086e-09	9.916439001281066e-19	1.7897494319752952e-12	-1.4369308291092974e-19	47.85085657936154	0.0026863005855279755	2.493024928025799e-06	6.57509411796097e-10	44.0	0.12935049861373016	59.63068900126422	21.0	90.0
images/00000/SPC-EAWAG-0P5X-1538660533457262-4343071953733-061239-099-2600-1048-180-172.jpeg	2018-10-04 15:42:13	43.84	0.49058235413014567	0.07553807996391766	0.03705764909516992	38.4214042632683	0.8713948323326942	0.7524069550222733	0.00043452050957426254	0.0020127184	0.008747654071676419	6.193561365018481e-10	5.059641946907339e-19	1.0953322262691336e-12	-1.9973358916667705e-19	45.29825888247812	0.0029615504195241024	4.779277798415056e-06	1.2454140390874295e-09	59.0	0.02520135009999967	68.68525592055003	29.0	103.0	0.007686944099692582	5.110057531897875e-10	3.4783605782154673e-19	9.019624850243105e-13	-1.7384177187563526e-19	41.90446192653001	0.0031478908855229904	5.430024811666809e-06	1.1331977028650435e-09	55.0	0.02250257194758494	64.07066462948816	28.0	96.0	0.008682882244792436	6.021962418434607e-10	4.785743015778162e-19	1.0557305713154384e-12	-1.9398479046010462e-19	46.49264657074004	0.002943391762945509	4.7120973842302574e-06	1.2210948201810232e-09	59.0	0.024987712541953096	69.27272727272727	28.0	104.0	0.010719844054554888	6.741656649362234e-10	5.924602226723005e-19	1.150587580453845e-12	-1.9940390782393783e-19	48.448212948787784	0.002774679790237382	4.160062922825412e-06	1.2753296984920207e-09	62.0	0.030852292469925918	73.70225362872422	32.0	110.0
images/00000/SPC-EAWAG-0P5X-1527035881451913-1177733772292-022720-017-1826-646-216-124.jpeg	2018-05-23 02:38:01	33.48	0.4694723893527081	0.07550650139176085	0.03544821762005355	13.156220124585268	0.882947153365058	0.9171963580140869	0.0003974310218273739	0.0020523116	0.03908423332901366	4.571427896099037e-09	2.1399600070451255e-17	1.2507408580288526e-11	1.1309223825270784e-18	48.48348455712928	0.0036825410951173442	7.488444607837351e-06	4.806920493801478e-09	40.0	0.145581158777026	57.787600674283574	19.0	85.0	0.04090688540784679	4.912734416131111e-09	2.4362675727624516e-17	1.3220551495148263e-11	1.316848447634605e-18	46.083661439019586	0.003662986281858734	7.242904595870305e-06	5.020501448562756e-09	41.0	0.1525835105754172	56.29705937441469	19.0	81.0	0.039237447810240335	4.498354360285403e-09	2.0714047042318147e-17	1.2280558192883687e-11	1.0649482837010696e-18	49.22188823460959	0.003672833709872223	7.454981571235295e-06	4.726235182756207e-09	40.0	0.14541471936027897	58.12418055815696	19.0	85.0	0.0365988791983658	3.9097578275510085e-09	1.5812645841564046e-17	1.0663137899967602e-11	8.724698255082046e-19	51.37971724855428	0.0036442695465203254	7.4449945479233325e-06	4.196426704829827e-09	40.0	0.1367572387881588	59.94605731410376	20.0	89.0
images/00000/SPC-EAWAG-0P5X-1528117501222366-454000502518-038909-042-722-640-148-204.jpeg	2018-06-04 15:05:01	42.198	0.48106782652755636	0.07545680280954496	0.036299840124306204	65.73600921465838	0.8766833785809178	0.899195534395009	0.00041648218915566317	0.0021053588	0.002836735074088443	7.809438553680084e-11	8.869448757364128e-21	9.217951571456361e-14	1.7634306078386013e-21	36.98807375564452	0.002656554946173722	3.0804959672049158e-06	1.717001689006505e-10	71.0	0.0083702880570856	76.5145152455724	46.0	103.0	0.0020884096594637382	3.2237883027970714e-11	1.7042267478367937e-21	1.6952525941268964e-14	1.2423088956460897e-21	34.30477957225718	0.0028987455344955423	3.715933465332695e-06	1.3275103418697014e-10	65.0	0.007275436322754663	69.99196640496622	42.0	94.0	0.0029830000497078147	8.281971566408368e-11	9.935191475337781e-21	1.054086119212348e-13	1.2204471255938953e-21	37.85251729677757	0.0026546546087151696	3.091005209859211e-06	1.7638261236883187e-10	70.0	0.010266863941143135	76.66331933540259	47.0	103.0	0.006706846192277757	1.0731087339616913e-10	1.5101277282809867e-20	1.271278965098312e-13	2.1948022187876474e-21	40.92862289849567	0.002422362986448679	2.5182066111851265e-06	1.884405639788622e-10	78.0	0.019526815763282485	83.88333029030491	50.0	112.0
images/00000/SPC-EAWAG-0P5X-1526997071043793-1138923919996-066609-040-606-614-152-196.jpeg	2018-05-22 15:51:11	36.198	0.5798886098519941	0.07499268954813766	0.04348740649113172	67.71297104649938	0.8146957715392427	0.922784275045794	0.0005940658048904144	0.0025174356000000004	0.052530461577273396	2.4143477726807172e-09	1.0367372022887326e-19	5.665446639683001e-12	3.574996063984885e-19	36.018797879363454	0.0040565792346799415	5.60473973495253e-06	9.84510243699666e-12	29.0	0.14040354469733296	40.95220644373187	15.0	55.0	0.054542352917750024	3.1640679489839004e-09	8.851536644410017e-19	7.90236506975866e-12	3.9820259356722016e-19	32.13155745109478	0.004298461624857974	6.4147825964812265e-06	2.9740086465306184e-11	28.0	0.14409160516742214	38.300198503588334	15.0	50.0	0.05282198014509142	2.4161278584838176e-09	1.9011735598006054e-19	5.633846461992277e-12	3.516749907934947e-19	37.48875949754939	0.00402639553711556	5.534235853028344e-06	1.1331075628177829e-11	28.0	0.1403321912694849	41.30768056191785	14.0	56.0	0.049649899823036456	1.6581339600480123e-09	-2.0871468967919724e-19	3.625052128625468e-12	2.4575130035955485e-19	39.39532224696083	0.003794319336272665	4.820408295031249e-06	2.2802828798953648e-11	30.0	0.13471771626869966	44.240952817224006	16.0	60.0
