url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1562231164366128-9136548561625-003549-028-406-1936-716-396.jpeg	2019-07-04 11:06:04	356.25	0.15935799809949724	0.3084247115391156	0.04914994459528837	29.223510357022352	0.9872208610243812	0.5720809217862263	0.0031209286622596003	0.0082830512	0.038309211457921016	4.908527901619226e-08	2.3440782541544385e-15	4.764535721745206e-10	-1.0385666500767294e-17	39.98469836396672	0.01035487402176648	9.995276813532073e-05	4.646211176021742e-08	63.0	0.28530127057677795	66.17105995916094	32.0	91.0	0.039593841863669925	6.719799881797533e-08	4.331343325068851e-15	7.092425763847693e-10	-2.964972745579938e-17	35.776125372958816	0.01127174911009506	0.00011808322830290225	6.182961610735101e-08	57.0	0.29443629276881345	60.48890848338593	31.0	82.0	0.038185591788774696	4.700701061863831e-08	2.1494853100008403e-15	4.558674758233249e-10	-9.658866989654967e-18	40.860843904046554	0.010352702504972102	9.990569684022308e-05	4.44825660148718e-08	62.0	0.28398822953740255	66.28786894375348	32.0	90.0	0.036806825532413344	3.588224727888254e-08	1.2673015232990479e-15	3.1825914364854033e-10	-3.2074245234440262e-18	44.28533148953807	0.009457757303554488	8.355590414980548e-05	3.4763523730387315e-08	69.0	0.2748366713660908	72.74508074995359	35.0	100.0
images/00000/SPC-EAWAG-0P5X-1562231393459756-9136777580662-005839-163-76-412-92-656.jpeg	2019-07-04 11:09:53	80.668	0.10691832549917227	0.25797115558508094	0.027581843982243292	87.13514306756399	0.9942678068168822	0.6525146261606999	0.0008220653696307338	0.0046731508	0.006958818210196661	7.591294093216041e-10	-1.6008140637826065e-18	-8.718110881714305e-12	-6.160799787068894e-19	40.70634700456058	0.01215912615335868	0.0001427960443960104	6.72541157852698e-09	64.0	0.04984028748574188	65.46491733157852	26.0	96.0	0.004313351385219811	1.3061352994263843e-09	-1.982586983584788e-18	-1.1876105926940033e-11	4.2819784056824995e-18	34.479279064527546	0.014057594177535335	0.00019097998782311077	9.992577229697569e-09	58.0	0.047341057251313476	57.80110224561981	25.0	83.0	0.010725735789006298	7.560391692273502e-10	-1.6867237885287029e-18	-9.002805822982585e-12	-2.904335496139717e-19	40.669625160876926	0.012221435551177877	0.0001442616382630269	6.778664286406375e-09	64.0	0.05317998863841928	65.15999012914371	26.0	96.0	0.010063463461424048	6.835921675339479e-10	-1.5246180905852378e-19	-3.201933954750592e-12	-1.2107169550656888e-18	48.65694604426006	0.010536279004036078	0.0001071904230936499	4.6615123576928664e-09	71.0	0.05187566626860577	74.43020482026816	28.0	110.0
images/00000/SPC-EAWAG-0P5X-1562231392403631-9136776580579-005829-179-72-88-148-436.jpeg	2019-07-04 11:09:52	80.628	0.19484904713894546	0.23248255345294436	0.045299004016735166	76.7759719489336	0.9808332421105256	0.41295829291949565	0.0019982797298573303	0.004091553600000001	0.055866315512096996	1.7983643619091402e-07	2.8207435399960025e-14	1.9605181047859955e-09	-4.542658079201313e-16	37.870421223449625	0.012112118601442502	0.00013279790615783741	1.3683801419790548e-07	40.0	0.29897434813618967	53.171552048102214	21.0	81.0	0.05470122085754013	2.560030982828387e-07	5.5649718652672964e-14	3.1683670051947565e-09	-1.0146434976448152e-15	33.08567046582381	0.01375361293257276	0.00017052545588656866	1.8464375799661564e-07	35.0	0.29333677808255465	47.57816610296881	20.0	72.0	0.0547515753767582	1.7523683173488975e-07	2.668411109474171e-14	1.9165776198758983e-09	-3.688523789129071e-16	39.0328423290776	0.01216291469421771	0.0001338898584481151	1.3234644393023843e-07	41.0	0.28687071404643794	53.59921082299887	21.0	80.0	0.05698026280038153	1.263018784158144e-07	1.4189012464097558e-14	1.212187582478956e-09	-2.2773433577279207e-16	42.65516441288247	0.010666006060209522	0.00010326304671121717	9.995091475876138e-08	45.0	0.3096231784357673	59.32816610296881	23.0	90.0
images/00000/SPC-EAWAG-0P5X-1562231004412805-9136388548324-001949-117-1452-1022-268-588.jpeg	2019-07-04 11:03:24	212.262	0.20684467933479536	0.2102158819271175	0.04348203668829582	69.02356941524191	0.9783737928986476	0.5265751795046097	0.0016648453203359072	0.0047642536	0.02196852412453825	1.566793741908791e-09	3.3476261742181774e-18	6.366176639895086e-12	-1.1876909070561269e-19	63.56068333447448	0.005755269014884955	3.010536089593325e-05	2.917324513000413e-09	92.0	0.11476667167552575	95.82467322898177	32.0	150.0	0.020536263236629368	1.9032607028885864e-09	5.030778535005939e-18	7.97581069142393e-12	-1.467775435391074e-19	58.441022796227	0.006050006209469849	3.3079658317370736e-05	3.674050193738211e-09	85.0	0.10818971028228586	90.37631111828304	34.0	140.0	0.021481656361349837	1.527245821170022e-09	3.239353105158435e-18	6.109945557266443e-12	-1.691004594785975e-19	64.45027137253943	0.00578514177097746	3.0420877174155557e-05	2.953735520266885e-09	89.0	0.11240243989895672	95.13240277553655	31.0	150.0	0.023461215018647816	1.2719454646983809e-09	2.1504752410301654e-18	4.98811928309986e-12	-6.538541724613361e-20	68.88585172301984	0.005411413676566725	2.6724701387836926e-05	2.2493898287606606e-09	100.0	0.12159429956958996	102.9682104243989	33.0	163.0
images/00000/SPC-EAWAG-0P5X-1562231390441380-9136774580413-005809-149-864-586-176-392.jpeg	2019-07-04 11:09:50	92.986	0.16736600931192883	0.18543501210339888	0.031035517962455093	72.82346274135485	0.985894831575356	0.6516045739579491	0.000748166644269091	0.0040742556	0.0011864516521260682	4.759506008568373e-09	2.410084824680089e-17	2.3811277310504428e-11	-1.002272562006484e-19	57.86172795910237	0.005191399278397662	2.5052485727768313e-05	5.387490642595429e-09	63.0	0.00834451135122668	78.74771204830644	26.0	121.0	0.002895038498533755	8.511336554474215e-09	7.648976515595841e-17	4.820637283874207e-11	-1.500777252927256e-19	50.58561207897227	0.005877386558532668	3.2086611131008176e-05	9.488881779981169e-09	57.0	0.01458563556061116	70.71384092838947	25.0	107.0	0.001387233524438331	4.725188430897129e-09	2.376622487524723e-17	2.382496262287034e-11	-6.873869746457641e-20	58.318946818233805	0.0052290958244775145	2.543879906193524e-05	5.353855448360563e-09	62.0	0.00541148878483258	78.55278799886781	25.0	122.0	0.0020736900321979847	2.765734840682721e-09	8.198699621946703e-18	1.219841731556823e-11	-6.4235601351261e-20	65.29912267507106	0.004581313644030093	1.9500763607448357e-05	3.1774958135365726e-09	70.0	0.011581227782261528	87.9656571374658	29.0	135.0
images/00000/SPC-EAWAG-0P5X-1591617697738699-12363073948805-000879-036-1838-0-420-692.jpeg	2020-06-08 14:01:37	371.73	0.11070093883699024	0.26398287709343105	0.029223152331132624	-58.339378903190784	0.9938537629554003	0.6887012664514527	0.0009443184847706835	0.0053304748	0.009244908182865401	2.004877390618301e-09	3.9643439648393e-18	2.1488157839754725e-11	-1.4935782661730655e-19	45.22136823206548	0.010877816378573085	0.00011493617305784453	1.952968396777019e-09	64.0	0.09865648291462933	69.58743780197591	26.0	107.0	0.009367930370924598	2.7280730104940332e-09	7.386619525718045e-18	3.2232724888685236e-11	-2.552918047111972e-19	41.818199495272395	0.011999783221015229	0.00013995606278099113	2.6905554253217353e-09	57.0	0.10271395802021326	62.60287012331435	22.0	97.0	0.009043459717451425	1.6892276317293422e-09	2.8015148297023287e-18	1.8119163882091614e-11	-1.1994437492182945e-19	44.999254824462334	0.010887630661370436	0.00011510346534754552	1.6312355403330023e-09	64.0	0.0947588270979201	69.48878632725174	26.0	106.0	0.009214849560644982	1.654483629737937e-09	2.6967045372232775e-18	1.6012987869261152e-11	-1.0070421448688544e-19	49.716112004866396	0.009822423910764957	9.367417236452811e-05	1.6079943716001583e-09	72.0	0.09771959449039767	77.6678445229682	30.0	117.0
images/00000/SPC-EAWAG-0P5X-1564423374540736-11328728092659-001649-073-1908-124-176-588.jpeg	2019-07-29 20:02:54	133.168	0.142189778136153	0.22116971119165663	0.031448072164778684	77.31490005821802	0.9898394147504895	0.5842344737930627	0.000916225373893202	0.0038005628000000002	0.01124402743129837	1.5318383708565287e-07	2.439807505763189e-14	1.6616233823433506e-09	-2.3652480497967507e-16	43.3774739998691	0.01114618150328771	0.00011770975333883937	1.6562012497104574e-07	61.0	0.12369464002531241	67.71063012036007	28.0	101.0	0.009525076585580392	1.6831166473554727e-07	2.9483360526639046e-14	1.9902094749254038e-09	-3.129319494855678e-16	40.62961197116962	0.012144298229691517	0.0001398782371977899	1.8233088575470059e-07	55.0	0.08231940222948159	62.821280469303126	25.0	95.0	0.011516938590255123	1.5559925454074735e-07	2.5196805081969142e-14	1.6926945475654353e-09	-2.517490781635598e-16	43.118608102060435	0.011181368406363733	0.00011840242579548982	1.685434069608482e-07	60.0	0.12810085089812978	67.56619803782745	28.0	100.0	0.013420349380471291	1.28893254233672e-07	1.7260233062972557e-14	1.270271618070832e-09	-1.5504478857135414e-16	47.29109374770388	0.010131418522025619	9.715851927954723e-05	1.391354468557584e-07	67.0	0.1547473187540487	73.75179528674016	31.0	109.0
images/00000/SPC-EAWAG-0P5X-1561363726179016-8269122585331-005169-056-1368-1298-404-112.jpeg	2019-06-24 10:08:46	63.91	0.13923292699365547	0.15911261670343108	0.022153715345238308	-7.754852687836678	0.990259658897998	0.5723521172287469	0.00032710438763087335	0.0020419328	0.0029370499913260405	4.258310001051018e-09	2.066321160562045e-17	3.0791123346090636e-11	-8.445389655221345e-19	41.79250253881011	0.008168461846366215	6.248213967089145e-05	5.538710961116469e-09	91.0	0.010312330199476985	89.37857680722891	52.0	121.0	0.004822847681762979	3.0651464419652047e-09	1.1674407862146467e-17	2.2180867945859127e-11	-1.2054689385861316e-18	39.93087192980401	0.008810028678747658	7.270409275643494e-05	4.78323825736102e-09	85.0	0.032222570682218774	83.08264307228916	48.0	113.0	0.0028244250690710854	4.493210615354198e-09	2.2830213728149962e-17	3.27275672632706e-11	-8.390713354241352e-19	41.87659403022212	0.008177966085063009	6.261508997267307e-05	5.7535495411699745e-09	91.0	0.009957518668120297	89.28840361445783	52.0	121.0	0.002463607691740306	4.7044447213217315e-09	2.426001278609215e-17	3.2220162705202733e-11	-5.038228100062486e-19	44.42019495236291	0.007529903220615619	5.308265335056759e-05	5.655151053172227e-09	98.0	0.017453971317833723	96.77353162650603	57.0	130.0
images/00000/SPC-EAWAG-0P5X-1591776599581354-12521973458589-005899-031-2848-160-232-128.jpeg	2020-06-10 10:09:59	41.696	0.2096471686772273	0.14233667257602023	0.029840480404500186	24.914254926845	0.9777771037744861	0.6228842917945164	0.000530905273902469	0.0024190292	0.01928951042757428	2.756864071357919e-09	1.07738373728664e-17	1.9482016116865936e-11	-3.590926537204242e-18	33.80628625297383	0.00967184078841511	8.303721977169138e-05	6.155222183179723e-09	53.0	0.07553278821312015	56.89257905609407	29.0	78.0	0.01625174959531134	4.558641634214645e-09	2.8564543503512476e-17	3.72397855432235e-11	-7.77178123276589e-18	30.76910984144212	0.010677328792636526	0.00010135498701109786	9.250456594975784e-09	48.0	0.0665503593344521	50.9192753853488	25.0	71.0	0.021276092557641242	2.593088073610739e-09	9.553458498776716e-18	1.81129210240286e-11	-3.232622016658834e-18	34.58625609823614	0.009601629844185312	8.181236611411764e-05	5.8337495245029185e-09	53.0	0.08232552958804433	57.11488955982838	28.0	79.0	0.019690178203853735	1.7926053957595904e-09	4.6566733601305595e-18	1.097809352537201e-11	-1.814671339499089e-18	37.356897649362594	0.008753970803874418	6.791122806957669e-05	4.336079977145077e-09	59.0	0.07559994506548687	63.63801048784364	33.0	87.0
images/00000/SPC-EAWAG-0P5X-1591776599581354-12521973458589-005899-027-2762-224-192-124.jpeg	2020-06-10 10:09:59	33.734	0.2628533561503732	0.11116441329166782	0.02921993911820204	23.787288327118713	0.9648357959572629	0.6908219371211053	0.0003975694481138583	0.0018835599999999998	0.0036772945574154578	5.066381314288497e-09	4.277080664203456e-17	3.175563363931446e-11	7.0655018166012985e-19	33.191156408975836	0.007110531735180903	3.931312047792931e-05	1.4070831474656576e-08	51.0	0.01435519940872977	56.454897959183675	30.0	76.0	0.004571147028412547	8.079486293739393e-09	1.0568145215987108e-16	5.683223523486425e-11	-6.023048745549792e-19	30.06917146920826	0.007958106018783134	4.949702990704214e-05	2.117680342033917e-08	47.0	0.013369061836107296	50.591632653061225	26.75	68.0	0.003872957082829968	5.020997380460397e-09	4.17691366216042e-17	3.1398354095467495e-11	3.986190107758449e-19	34.30371045861737	0.007086806590668485	3.911408692705954e-05	1.3784168218128631e-08	51.0	0.01576833124746491	56.923469387755105	30.0	76.0	0.0042078537444548945	3.1457653583755773e-09	1.7108124795380048e-17	1.7501197284002744e-11	8.609733238682679e-19	36.89064742153953	0.0063508129242670856	3.1170230664077155e-05	9.425933384912513e-09	56.0	0.017132293450126714	62.85040816326531	34.0	84.0
