url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1526951799952143-1093653479526-045899-011-774-1648-472-480.jpeg	2018-05-22 03:16:39	301.316	0.4734274274454263	0.3322272654783516	0.15728549962264468	-47.0347648468001	0.8808328280340177	0.4882477399499904	0.034427164394088154	0.024394024	0.04259129054262714	1.671706313965341e-08	4.1100328179727494e-16	6.410017653564642e-11	1.8919102013409268e-16	33.91696367489699	0.006471744617704625	1.7432323337097502e-05	4.382014723623308e-08	44.0	0.08057723079838369	51.025858808698395	24.0	72.0	0.042250080924901665	2.2971941362606857e-08	7.602063618660534e-16	1.0445918484121397e-10	4.3075521720484404e-16	30.665716438340674	0.007603661069590793	2.3826543857029197e-05	6.297893833633318e-08	37.0	0.07994067801380814	43.905310431768044	20.0	61.0	0.04201749746920131	1.6276066602885713e-08	3.926805519184091e-16	6.092601041812428e-11	1.694910121718473e-16	34.08642677239553	0.006368647919735031	1.6793494393921906e-05	4.242532801072861e-08	44.0	0.07948572356829328	51.64965332492909	24.0	72.0	0.042914621478491684	1.1897932173222837e-08	2.1017391709319255e-16	3.956100696439364e-11	8.723765933628704e-17	37.916975406482976	0.005620423258714058	1.329954131504839e-05	3.074516338967716e-08	52.0	0.0811702953861949	58.52442483454144	28.0	83.0
images/00000/SPC-EAWAG-0P5X-1526952106981554-1093960505048-048969-013-2718-1028-900-676.jpeg	2018-05-22 03:21:46	671.688	0.5669629670301625	0.2648559768210102	0.15016353045411188	33.63247195343496	0.8237432816213768	0.579022661815977	0.02501654488694289	0.023493374799999998	0.028619929799642226	1.3360398527920785e-09	-3.3397754631790596e-19	1.6592499087453187e-12	-6.944740133652807e-19	43.58811771491123	0.0028213632761044834	1.5485307877085632e-06	2.490047700323485e-10	63.0	0.09234103767795977	67.23291391920415	27.0	103.0	0.02910323681274877	2.095897635094327e-09	-9.508649247157163e-19	3.0453540076557347e-12	-1.4466211928915774e-18	39.956144387799114	0.003303732848882683	2.1621221688697656e-06	3.2550361391343756e-10	53.0	0.09274278791909589	58.88513834121439	22.0	90.0	0.028437406978284972	1.2125368481299604e-09	-2.5924068548762532e-19	1.4767478432307175e-12	-5.931588488972365e-19	44.32871763657141	0.0027665230596924835	1.484913766862691e-06	2.350573917234747e-10	64.0	0.09236493490226516	68.11535252057529	29.0	104.0	0.028066523959919005	9.619416750427495e-10	-1.519023839437625e-19	1.0501468804121252e-12	-4.0668359618761967e-19	47.558539017290556	0.0024815265969435913	1.1919636745573667e-06	2.1173200938848537e-10	73.0	0.09090186219593241	75.69643470720094	32.0	114.0
images/00000/SPC-EAWAG-0P5X-1527211734915623-1353584680000-053249-041-2172-192-580-780.jpeg	2018-05-25 03:28:54	509.292	0.5072446398814648	0.24194548965894333	0.12272555277299536	-61.31682490649829	0.8618021091361537	0.5802924873216181	0.015264273308324663	0.0189136332	0.025426537195247276	3.1578146262389475e-09	1.073387312988883e-17	5.783423672268239e-12	4.758525259720243e-19	37.005395020257865	0.0036035214165427267	4.1555801416665475e-06	3.6661118173418672e-09	56.0	0.09054340176267997	58.71341178383432	28.0	85.0	0.029115468874656585	5.149057285592373e-09	2.8107304488820957e-17	1.0442393063876616e-11	-3.5092238618919215e-19	34.4059490091038	0.004209112402588533	5.28702630654463e-06	5.787925303587741e-09	45.0	0.10146057149080058	50.580208523870496	21.0	74.0	0.02541143867833079	2.9426119116164057e-09	9.350423188470844e-18	5.238092579409183e-12	2.677825330111452e-19	37.69903197554536	0.003540860691995885	4.005768868119598e-06	3.434152806440148e-09	57.0	0.09043115434965986	59.49344552161453	28.0	86.0	0.022427613890676698	2.105137530652022e-09	4.7590427160113364e-18	3.533249420498303e-12	4.923721370537658e-19	40.935798174493016	0.003157785968217674	3.374572657686936e-06	2.453701823784893e-09	66.0	0.08151459694099769	67.0601182854704	33.0	95.0
images/00000/SPC-EAWAG-0P5X-1526951629926563-1093483465394-044199-012-710-1704-476-600.jpeg	2018-05-22 03:13:49	342.454	0.4840256259255778	0.23508411475332586	0.1137867357886389	-49.49786939269162	0.8750538231716679	0.6484549091201977	0.012749559231402016	0.0185688264	0.03351068843929801	3.737364465995311e-10	1.540628403825922e-19	4.481787147203387e-13	-4.559804745899688e-20	40.99246489218717	0.0023875671942874275	1.5041308779898764e-06	4.945019930858952e-10	66.0	0.09797850264775071	67.64045874218523	32.0	97.0	0.03449832362928565	5.333181166915003e-10	3.07638117629137e-19	6.979217485346544e-13	-9.627247052064661e-20	37.62404663448499	0.0026627743060763467	1.7741107577093736e-06	6.850096073254756e-10	59.0	0.10053877778421946	61.349376888999295	27.0	91.0	0.033555056305203994	3.475155179908931e-10	1.2892011916595276e-19	4.1297106451511675e-13	-4.580301647851768e-20	41.98313343302301	0.0023466804196055286	1.4512444681612945e-06	4.460094989375036e-10	68.0	0.09742359260873247	68.5705295408438	32.0	99.0	0.032244162008658706	2.870002114021891e-10	9.330906867935909e-20	3.187391100903029e-13	-2.1908108920871085e-20	44.39474597330659	0.0021817850642044364	1.3258724520837312e-06	3.886025773493386e-10	73.0	0.09518439043209487	73.99913054278971	37.0	104.0
images/00000/SPC-EAWAG-0P5X-1526948696648763-1090550221566-014869-018-924-906-524-716.jpeg	2018-05-22 02:24:56	445.692	0.5925894420583654	0.21392257253418567	0.1267682579017233	-67.09225517226163	0.8055046574421251	0.5672184547126631	0.014400125137100246	0.0155293756	0.01613408720096287	1.8913044479727883e-10	1.0722716102504842e-19	3.77456645437254e-14	-4.203077232844209e-20	49.040045116647526	0.0025089421111658262	1.593327146905286e-06	1.9606422774335623e-09	72.0	0.05344368919790431	76.037401915889	33.0	113.0	0.017077337524910873	3.0424172224918927e-10	2.513722522737368e-19	7.615441075296969e-14	-1.0947020697167818e-19	44.82601921447663	0.0028582318316189787	2.0601457784688825e-06	2.669305393466584e-09	61.0	0.05796081075761382	67.72340899527217	28.0	102.0	0.016195070219920695	1.6911679252799718e-10	8.834552835401552e-20	3.6640394034155835e-14	-3.7465247922160613e-20	49.942184688789496	0.002477527242978059	1.5494618272048222e-06	1.903848266510984e-09	73.0	0.053024927240567996	76.90237382113419	34.0	114.0	0.015285019521240993	1.3223831312125413e-10	5.535284252466025e-20	2.0188581474300546e-14	-1.9655584591077906e-20	53.67235842444456	0.0022418430273797125	1.2786835438356082e-06	1.4920464232758232e-09	80.0	0.04990530947318928	84.48327928909131	38.0	123.0
images/00000/SPC-EAWAG-0P5X-1527122785529992-1264636569549-027749-025-1674-342-300-420.jpeg	2018-05-24 02:46:25	164.548	0.4467453724220273	0.2135807100000609	0.09541619383113821	-67.8507090195587	0.8946611493853437	0.7184057031756319	0.008145069833211605	0.012783221999999999	0.002769647971453724	4.308046619645063e-11	4.305316674860555e-21	-8.289591689488246e-14	-1.0401392141584341e-20	38.03563489224877	0.003299264317639219	5.014637911083439e-06	1.584966631631707e-09	68.0	0.0060736614761710194	68.25830702150053	37.0	97.0	0.00672421426644745	7.537398895992583e-11	2.1402270314899128e-20	2.5180335312804966e-14	1.492551555148036e-20	35.543174506058335	0.0037318342977860535	6.4345931161746415e-06	1.5899117901067645e-09	58.0	0.017469441488472678	60.924071568185234	31.0	89.0	0.0036096342106316046	4.2957347181569905e-11	-1.7993063443293036e-21	-9.257753759859365e-14	-1.1017857767931615e-20	37.85801629002645	0.003223827215108385	4.76374021343049e-06	1.5722175829729214e-09	70.0	0.007235284348904089	69.46795970530748	39.0	97.5	0.001912767300125936	3.926936674541044e-11	-5.033748659442527e-21	-7.93555603644122e-14	-7.964183555213345e-21	41.78049114051916	0.0029842995521035453	4.107428550962499e-06	1.4658485162078878e-09	75.0	0.005001309553443546	75.39007668019846	42.0	105.0
images/00000/SPC-EAWAG-0P5X-1527385774981001-1527622240494-065639-051-1942-1084-700-528.jpeg	2018-05-27 03:49:34	449.532	0.4657086342096872	0.21313166011125032	0.09925725433725367	-38.55427426414906	0.8849381153631861	0.6834843675184876	0.008795511324472163	0.014815160400000001	0.02341963629049714	2.9389832835199875e-10	1.2203209654714432e-19	2.6088588647348493e-13	3.670715882386826e-20	46.203562067702755	0.002225050934965347	1.7425434971877378e-06	6.396973758873905e-10	80.0	0.08946553756111539	78.79294776990737	37.0	117.0	0.02422682719221544	3.679807048910646e-10	1.90422273400609e-19	3.6521086756124055e-13	4.862028596576372e-20	44.06573491622005	0.0024495560233532354	2.0258675260954937e-06	7.751550240703094e-10	72.0	0.09281607507759344	73.4687475675255	32.0	113.0	0.0234990056880425	2.902086546801445e-10	1.1924054816510233e-19	2.5888810561533304e-13	3.380388502790925e-20	46.968394450343936	0.002213600147892577	1.7217414655156696e-06	6.284760315550351e-10	81.0	0.08988120108001962	79.1874886484523	37.0	117.0	0.022369861848570892	2.3494774629309096e-10	7.788616042872075e-20	1.861726542418629e-13	2.7298871737725333e-20	49.556416527283716	0.0020305282499302408	1.5134601143465141e-06	5.252037126179611e-10	87.0	0.08511739993330948	84.72242546898109	41.0	123.0
images/00000/SPC-EAWAG-0P5X-1527383049729685-1524897013958-038389-019-1956-1830-532-544.jpeg	2018-05-27 03:04:09	347.516	0.49912738408498053	0.20791596279765553	0.10377655062070394	-50.29375150708139	0.8665286229874258	0.7354435254635149	0.009379396719432062	0.0154155932	0.019647724110431482	1.7030219099065405e-10	1.4906820986135824e-20	2.5827716758007153e-13	-4.025993182323689e-21	38.522213353710214	0.0025350247052618492	2.303850721225528e-06	4.827091139319242e-11	68.0	0.06319668871893439	68.60097748298132	36.0	98.0	0.022802213796180252	3.055451753385629e-10	4.7540705275895783e-20	5.267266541007862e-13	-1.3021360944384274e-20	34.863597917201716	0.002904663583726999	2.9723421361142193e-06	8.51768949395911e-11	57.0	0.07334059139164416	60.42201331571204	31.0	87.0	0.018959071929352745	1.4568235094936603e-10	1.0266780915096275e-20	2.1573398285373423e-13	-3.2548300083266654e-21	39.46702461167781	0.0024760209061726875	2.195356494125668e-06	3.751801207792439e-11	70.0	0.06093309588857866	69.89404782684588	36.0	100.0	0.017551527307351652	1.1217346273706804e-10	6.61001849608875e-21	1.5246489244570095e-13	-1.5635840079293301e-21	42.07037211922768	0.0022741923041255233	1.8833947665960462e-06	3.268739302458173e-11	77.0	0.0565001988247139	76.4813355609306	41.0	107.0
images/00000/SPC-EAWAG-0P5X-1526948325614545-1090179190724-011159-006-710-2374-732-225.jpeg	2018-05-22 02:18:45	198.594	0.4701377786233555	0.20367938468967983	0.09575737346937795	2.9564988205834335	0.8825930370850977	0.6077664702731655	0.007823122561479816	0.0130853604	0.01714716187977666	9.966831938235339e-10	8.402795738700573e-19	2.057535286629468e-12	-5.710416305141371e-20	32.57556347972392	0.0035690698697283447	4.264849587329297e-06	7.164358655853833e-10	50.0	0.07347332589961308	52.382626832349224	27.0	74.0	0.017640289851396512	1.287107660866862e-09	1.4405070049377635e-18	2.9548132739858344e-12	-1.0979609081252169e-19	29.38248082706924	0.004026185992061536	5.278413919204887e-06	9.788178510848187e-10	46.0	0.07530395419352419	47.34769836373785	23.0	67.0	0.01570962250124523	8.378398845132281e-10	5.990494208563203e-19	1.676518482612901e-12	-1.5629706590195512e-20	33.76505878003777	0.0034780782101677885	4.028029302529307e-06	6.10573218512755e-10	51.0	0.07028774451229751	53.41773155900238	28.0	75.0	0.017938549794933752	8.936772285201139e-10	6.516099223095334e-19	1.7038327607748054e-12	-6.217523483626085e-20	35.80003150228715	0.0032413246647558513	3.635771732720865e-06	6.003015645691269e-10	54.0	0.07379374532031802	57.38397814400282	29.0	80.0
images/00000/SPC-EAWAG-0P5X-1526950557827089-1092411376276-033479-032-1528-450-796-544.jpeg	2018-05-22 02:55:57	506.522	0.592092826655713	0.20291211093263928	0.12014280532478398	20.600086348392956	0.8058697690215509	0.5990002331817652	0.012268518303683487	0.0157992244	0.02667075587010793	1.72499251426982e-09	3.061810992238141e-18	1.9020054260566147e-12	-4.59398780951974e-19	43.99415027802639	0.002538463730236068	1.46860947583864e-06	1.867513369632418e-09	65.0	0.08783668344281732	70.98489087856743	34.0	107.0	0.027872726365217967	2.553851581436008e-09	6.5566888833773005e-18	3.1006017521421867e-12	-9.825437577338872e-19	41.65828964342335	0.002890212321180913	1.7926980226534449e-06	2.6389239069579007e-09	54.0	0.09288507530159727	63.222914284323984	28.0	96.0	0.026756141358003024	1.6075187291183654e-09	2.664597027313076e-18	1.7394563709554597e-12	-4.0724084257811393e-19	44.629840638563515	0.0025047625722861384	1.4158307831942228e-06	1.7491321881049246e-09	66.0	0.08791601062955814	71.52176346074305	33.0	107.0	0.02531203587365107	1.256305773245111e-09	1.649282152456328e-18	1.2768297857954578e-12	-2.402759293367564e-19	47.103012463576	0.002268033820267741	1.2403836222353478e-06	1.4009574171991358e-09	76.0	0.08268753318697109	79.20943529354517	40.0	117.0
