url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1582020578470828-2766097525533-005689-073-1588-724-104-64.jpeg	2020-02-18 11:09:38	8.686	0.3963876025016809	0.0440429568789586	0.017458082084335316	35.61989806976856	0.9180832579798901	0.6844660194174758	5.6228712550890265e-05	0.0004336032	0.012232362818244863	3.2377276711570647e-09	2.031941160298735e-17	7.403562106998174e-12	-1.5038947262845114e-17	47.03560198516583	0.004839027814575731	1.641544083675155e-05	1.8828373997773347e-08	39.0	0.027830198715607327	56.31737588652482	18.0	83.0	0.028804550437673628	1.3395441335835577e-09	-3.798880593786789e-18	-3.243705514499982e-12	-5.74980608181307e-18	44.30975831839183	0.005466772240120988	2.1257830951510762e-05	1.9758192774519193e-08	34.0	0.07027593736516505	50.2854609929078	16.0	68.0	0.011086219706054546	2.9170849514736594e-09	1.6242138949627628e-17	6.2297562613545796e-12	-1.2844920018556552e-17	48.99397410124268	0.004698676392698291	1.5480384705400854e-05	1.7274543596348257e-08	39.5	0.025307962921074113	57.968971631205676	18.0	86.0	0.009171817624031192	5.2522150990748626e-09	4.9942610687695314e-17	1.5255195235723484e-11	-1.3349559651701745e-17	50.08171249700045	0.004358975468590872	1.3057099354952865e-05	1.8445318416509694e-08	43.0	0.03381735458345711	61.6959219858156	20.0	97.0
images/00000/SPC-EAWAG-0P5X-1582020545582885-2766064522789-005359-057-1736-756-56-56.jpeg	2020-02-18 11:09:05	4.262	0.4919593351136656	0.02526850074215628	0.01243107482443037	-55.72038454145808	0.8706181784195183	0.7930535455861071	1.6356314215609776e-05	0.0002106512	0.0157837831541504	2.3042832624582223e-10	1.055727131503427e-19	6.594789616854653e-14	-4.308652793573312e-20	54.591400446565274	0.0022228097286468226	2.2746209265620497e-06	1.0626839568016447e-09	77.5	0.04408411652668284	84.7956204379562	32.0	133.25	0.01583089875714254	2.2328411624868146e-10	9.954607895379099e-20	-2.937726509754095e-16	-6.594249437698583e-20	50.87138302052972	0.002322408019812264	2.4078303184827564e-06	1.2807963370023e-09	70.0	0.0442157104362193	78.06204379562044	29.75	120.0	0.01783240106456005	2.174219004604123e-10	9.494935566387207e-20	6.416453246558349e-14	-3.519770663283554e-20	58.80478039898562	0.0021672572550214594	2.171147883315554e-06	9.976872150355872e-10	79.5	0.049805907671374335	86.74087591240875	30.0	138.25	0.014013285972547432	2.3060669427343115e-10	1.0113825910909931e-19	1.0519474927497424e-13	-3.0524367899090993e-20	55.986500027288336	0.0021579513587478114	2.1846605574922816e-06	9.100706325630052e-10	84.0	0.03913911675687638	90.61678832116789	36.0	140.0
images/00000/SPC-EAWAG-0P5X-1571821628009415-5003585473723-004189-006-2206-2438-164-88.jpeg	2019-10-23 11:07:08	21.644	0.3559751996760511	0.11175719107671564	0.03978278840876845	17.753137721434083	0.934495402458244	0.6450962604576151	0.0007408913540657644	0.00246016	0.019257030446688576	1.7684069672286325e-09	-8.048181201555102e-18	-5.577943389629445e-12	-5.762077663813459e-18	29.09543821926211	0.004373074210404773	1.2157282078248564e-05	1.7716076825284528e-08	84.0	0.026438880302758573	82.63171875	61.0	102.25	0.02773115420725844	2.553288807784865e-09	-1.8441839886584428e-17	-1.0266693595597598e-11	-1.0061807891201163e-17	28.14692171883266	0.0052850153383333385	1.8225574332726427e-05	2.651397726736972e-08	70.0	0.03846764179688914	70.2459375	49.0	90.0	0.019747654833048064	1.569462153875374e-09	-6.647907565119266e-18	-4.841957512472825e-12	-4.199249290417457e-18	30.808783354938303	0.004209635666056545	1.1207389101482052e-05	1.5993195708222017e-08	87.0	0.027127579473852415	85.43296875	63.0	106.0	0.01263575496677613	1.3558153018586485e-09	-4.254951616166712e-18	-3.5405030311363637e-12	-3.795628142796748e-18	31.38957648821301	0.003810163450599965	9.08595593360205e-06	1.3044701981624086e-08	96.0	0.01842234425508991	93.229375	72.0	114.0
images/00000/SPC-EAWAG-0P5X-1582020065434561-2765584482886-000559-047-1740-1054-244-216.jpeg	2020-02-18 11:01:05	66.0	0.6959624260744381	0.0828189120402563	0.057638850948382274	29.027341876038033	0.7180782001234839	0.8164495258353275	0.001152520765896438	0.0035410928	0.0052005524720093906	8.698933970242364e-11	-2.5452306659435412e-21	-2.0600663490592953e-14	1.7972731188070394e-20	34.62154896919875	0.0029390108569880874	1.2061064294572488e-06	5.005571990124741e-10	48.5	0.012201937054099216	56.02941815023882	26.0	81.0	0.005770993904920015	1.0641848797713488e-10	-1.5613950046047926e-20	-7.085331575996104e-14	2.682149706498018e-20	27.026034306262943	0.003500781732781657	1.6878327430876447e-06	7.992080958371563e-10	42.0	0.013538300527516868	47.10627442466348	24.0	66.0	0.005332354250092208	8.167695101766094e-11	-3.452259328707579e-21	-2.500248477006323e-14	1.553661970806537e-20	37.768088860918596	0.0028666456562170687	1.1346709567867702e-06	4.6488400555117945e-10	48.0	0.012484745742136209	57.51899696048632	25.0	84.0	0.004581257774620306	7.107700835379958e-11	1.446424705935922e-21	1.3598849407202728e-15	1.1155317579299566e-20	40.51016003864525	0.002552534552023261	9.263318701541631e-07	3.5238487490657164e-10	55.0	0.010772337277095007	64.46113764654798	30.0	93.0
images/00000/SPC-EAWAG-0P5X-1589796322095214-10541725552561-003129-038-710-646-40-176.jpeg	2020-05-18 12:05:22	10.708	0.2639310327366737	0.07867074986636169	0.02076365225839737	-88.45608099142954	0.9645415542933093	0.6786266625425301	0.00014207229395345102	0.0008433736	0.0436756738661933	1.6051018403173004e-07	3.072753853560561e-14	1.1323950456364217e-09	-5.3783676944224555e-15	35.7384537189284	0.009219403423016354	6.378707261089099e-05	2.353170914225938e-07	35.0	0.10752953821806885	47.17456700091158	21.0	64.0	0.06414164872852054	5.396399501992384e-07	3.428436535269834e-13	5.5147708954517125e-09	-5.698078525471186e-14	29.963429526888486	0.013135123314493418	0.0001327054593279307	7.686233919014268e-07	22.0	0.15684831540080035	33.44074749316317	12.0	45.0	0.039414935780547646	1.23025189079837e-07	1.8342626724231344e-14	8.102302884482268e-10	-3.4456618363845074e-15	39.0107313799892	0.008696142500836678	5.673210030694308e-05	1.8706905376516335e-07	39.0	0.08846315074897557	51.33773928896992	23.0	69.0	0.03499993470528534	7.973937068670862e-08	7.55700349273254e-15	4.456848179918171e-10	-1.2686596133713904e-15	40.02830851638556	0.007311053503356696	3.9590536236874896e-05	1.158114119520611e-07	45.5	0.09459473008951463	57.741567912488605	28.0	78.0
images/00000/SPC-EAWAG-0P5X-1590120050428365-10865448955757-000409-041-1334-822-152-156.jpeg	2020-05-22 06:00:50	32.98	0.7335147427233097	0.0785485639736449	0.057616529694413575	73.32729512548431	0.6796735409058946	0.9238927011852776	0.0010922474825033764	0.0034157783999999997	0.03998871160907993	7.683329601130224e-10	5.886580300894317e-19	2.4534256017490087e-13	-1.0952482002565546e-19	37.84940009034291	0.0026896607720159693	4.95755542177137e-07	7.904195658191055e-10	52.0	0.06651465729668826	60.55142921449471	31.0	82.0	0.036899263724637095	8.883163294361609e-10	8.152312551771108e-19	2.9584510553268476e-13	-1.5575778306858196e-19	32.749096188467554	0.002954749350422312	5.875367656784854e-07	9.827195550892522e-10	48.0	0.06132683319054022	55.37395903668693	29.0	75.0	0.040117642275202064	7.078672765198568e-10	4.941009075872437e-19	2.235281645775342e-13	-9.62092650848181e-20	40.459584262570154	0.002613499061111175	4.685012773833971e-07	7.143931313899957e-10	53.0	0.06675940610119557	62.35325230699978	30.0	86.0	0.04188024297520591	6.700658496348532e-10	4.478181780487838e-19	2.0408948416968775e-13	-7.691817784616068e-20	41.58460384716479	0.002500442530875517	4.3544878340772834e-07	6.86243536670455e-10	56.0	0.06967395956491546	64.92325005626829	33.0	87.0
images/00000/SPC-EAWAG-0P5X-1590070014948477-10815414197946-004049-031-1188-1624-144-96.jpeg	2020-05-21 16:06:54	18.778	0.6775871467846564	0.07165627811334872	0.04855337303603178	3.0422152329388212	0.735442491641752	0.6172629929485506	0.0007075899699095456	0.0018170588000000001	0.060706169894026676	2.4960408874683885e-08	2.829215755348771e-16	3.207930510276727e-11	-1.4136496999253672e-16	35.82363363315093	0.004783835960915882	2.8666486974136898e-06	6.432346338715588e-09	34.0	0.09963439321740757	46.702559763063256	21.0	61.0	0.062006052624675484	4.025763791112453e-08	8.465515932332495e-16	5.7584226457066034e-11	-2.793753723906158e-16	31.1043151357534	0.005590667161185379	4.032661591378975e-06	1.2180313137156833e-08	30.0	0.0991830791186802	40.583879839221495	18.0	52.0	0.0587022560890956	2.2906660660376388e-08	2.422993150748328e-16	2.860316060536459e-11	-1.2165632815950533e-16	37.745957371091414	0.004691289963325884	2.7141675012989187e-06	6.115844989947329e-09	35.0	0.09594613057531853	47.85149143219801	20.0	63.0	0.06068688254934264	1.6701231886999078e-08	1.1083460082330249e-16	1.9668043656894588e-11	-7.265631410762417e-17	39.79328988823698	0.004188918767784449	2.1938838245147327e-06	3.770156112308307e-09	39.0	0.10178283079957294	52.66278823778295	24.0	70.0
images/00000/SPC-EAWAG-0P5X-1590069995917783-10815395196366-003859-049-1232-494-152-120.jpeg	2020-05-21 16:06:35	26.504	0.7895867763442208	0.07133205600749677	0.05632284815296478	-5.44997736514824	0.6136389187643996	0.865359477124183	0.0009478564455211522	0.0030536736	0.05324713934143379	6.268435548959327e-09	-1.2889002601201974e-17	7.748411362397324e-12	-2.9399841367876773e-18	27.31172641451221	0.004967442749958017	2.3495252056097934e-06	7.095600083133089e-10	27.0	0.08181141497460279	34.2654833836858	15.0	45.0	0.05247439270587951	9.389565041452206e-09	-3.274322384285367e-17	1.487588277127853e-11	-6.364760766643691e-19	24.266687181431024	0.00574947442091721	3.5170034155806603e-06	1.295598743418801e-09	23.0	0.08076942180175879	29.90886203423968	13.0	39.0	0.050986153464225144	5.5969991505110935e-09	-1.0728027976210858e-17	6.703435112865556e-12	-2.8611145952238228e-18	28.431932084461568	0.004877779565701251	2.2468012417704014e-06	7.030962595417538e-10	27.0	0.07826070635495616	34.95971802618328	14.0	47.0	0.05448882924860942	4.221129504031761e-09	-5.5146659509286155e-18	4.2049037238260305e-12	-2.040406882202099e-18	30.213740835205595	0.004334330434564924	1.6263402835936093e-06	4.5969910382649305e-10	31.0	0.08366475058020403	38.92094662638469	18.0	51.0
images/00000/SPC-EAWAG-0P5X-1580983603559372-1729137630605-003939-020-0-1236-60-160.jpeg	2020-02-06 11:06:43	12.366	0.37620399025337853	0.06585108384699173	0.024773440505748093	-71.2470009287946	0.9265368625788376	0.6462922742786223	0.0001692872253514788	0.0008007052	0.0804199237507001	8.380806214800771e-09	8.456425819526671e-17	1.1570647737215063e-11	-2.2131332952366344e-17	49.58272649726688	0.0035632743529336384	7.52663331455684e-06	1.298038783393887e-08	68.0	0.1891856264615119	68.25588094095055	18.0	107.0	0.07896815489126902	1.5792870163016344e-08	2.9501817995243247e-16	3.0167339594323066e-11	-5.961654725029069e-17	42.392857401203955	0.004399711862774251	1.1892624699405112e-05	2.2998334688426447e-08	59.0	0.19305819889582937	58.64570331253	17.0	90.0	0.07678323535948321	7.93130595781733e-09	7.633352567640746e-17	1.0642314476713515e-11	-2.07276202007801e-17	51.44740599824128	0.003482521915237027	7.123869230221883e-06	1.2539876787286923e-08	70.0	0.18571611944203187	69.7321171387422	18.0	109.0	0.08393321709271466	5.162825592290194e-09	3.2098291482992804e-17	5.560915352857345e-12	-9.503384993790905e-18	56.60753858973093	0.0030286257762777847	5.316884069391328e-06	8.143178041505985e-09	75.0	0.1874550142041333	77.37686029764762	20.0	123.0
images/00000/SPC-EAWAG-0P5X-1559037619655383-5943051133092-000099-029-2000-2342-168-124.jpeg	2019-05-28 12:00:19	27.874	0.6742984644513967	0.06496783291928195	0.04380770997620672	39.0186400999846	0.7384589229188637	0.8020752671519281	0.000522261597009392	0.0019908076	0.028061685649026478	3.5719318339802527e-10	-3.267598886787487e-19	-4.702282673647299e-13	4.598639585523116e-19	36.18896027657927	0.003442582812824194	1.8588348833393166e-06	6.983203125361803e-09	41.0	0.0629286132580104	51.06526356439467	23.0	70.0	0.027851388157435795	3.7744887232808774e-10	-3.88281750673408e-19	-5.307438348220346e-13	5.700386468635107e-19	32.50327424873551	0.003732354518712175	2.1424006060202643e-06	8.846366779866223e-09	39.0	0.06137775399148722	47.20795520370728	22.0	65.0	0.026879788575625414	3.232234179088534e-10	-3.0250971205184344e-19	-4.1308845916154856e-13	3.6090525218039096e-19	38.30032079767642	0.0033665244571633476	1.8156373093667269e-06	6.567257042750983e-09	42.0	0.0610154173586297	52.40355280942267	22.0	71.5	0.02897002367504882	3.335218033613445e-10	-2.7164897191416287e-19	-4.0950954889895236e-13	3.7005804584477477e-19	39.27640926187629	0.0032097392568660246	1.6035139044547684e-06	5.680234838467712e-09	44.0	0.06512163896916678	54.572504344468044	24.0	74.0
