url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1538098513507571-3781060295504-057039-089-1760-1454-68-80.jpeg	2018-09-28 03:35:13	8.198	0.39289865645718436	0.041674816728109465	0.0163739795005736	41.01951106942954	0.9195817776327124	0.6109589041095891	4.680268758514234e-05	0.0003428848	0.022713055013771185	6.624097075282505e-09	-1.673473640482531e-17	-2.3101314507294053e-12	-9.878036337298397e-17	42.87276186001457	0.003790174036515606	7.572335356449819e-06	3.453427328226853e-08	52.0	0.0612372108652172	67.25112107623319	32.0	94.0	0.017269241735813273	1.3059505181661103e-08	-4.117905195436818e-17	-4.6322451591505165e-12	-3.874269579249513e-16	36.32497592577266	0.004704030347564781	1.1602274088701188e-05	6.815195778236851e-08	43.0	0.048949705390290116	57.02466367713004	30.0	79.0	0.02172997333756901	6.413725466887323e-09	-1.4046569450523337e-17	-1.9344816263115964e-12	-9.275232689768621e-17	43.620249377602626	0.003736153148237813	7.31960084881132e-06	3.335541825506069e-08	54.0	0.0589868216706381	68.56053811659193	33.0	97.0	0.028315968892177266	3.790112644024884e-09	-5.729515938545454e-18	-1.0234350575539175e-12	-3.1976093017487335e-17	50.01690542244658	0.003172011111896288	5.369363210255616e-06	1.9382898067221692e-08	62.5	0.07459696510596615	77.19170403587444	35.0	108.0
images/00000/SPC-EAWAG-0P5X-1537620974767231-3303528430221-033649-022-2704-1866-68-76.jpeg	2018-09-22 14:56:14	7.982	0.3315010261560913	0.04163539995508825	0.013802177809531031	-64.15801475156337	0.94345485830402	0.6070866141732284	3.322359210643964e-05	0.0002963724	0.05495637605075274	2.859156756886951e-08	9.138122227660074e-16	8.148715316357052e-11	1.2034682251680116e-16	35.94948959990162	0.004553454515561751	1.3849162327952396e-05	3.6346948584173886e-08	61.0	0.18487102760188417	65.46952010376135	33.0	91.5	0.05605752385794641	4.54348667386979e-08	2.3078897838347607e-15	1.5860357249032278e-10	3.250136229889045e-16	30.888812431012433	0.005533357354428588	2.0683932233162168e-05	5.791500721322525e-08	48.0	0.18796548841013538	52.87289234760052	25.0	73.0	0.05107010341593258	2.579761074391798e-08	7.497083217705676e-16	7.097563307550417e-11	1.0682378182306232e-16	37.66819502182105	0.004457371378428916	1.3282773862071604e-05	3.3402209192628984e-08	64.0	0.17214937695301719	66.85343709468223	32.5	94.0	0.05686527831891603	1.995963607301138e-08	4.44357000494992e-16	4.913061225945008e-11	5.292693768132381e-17	41.15824045089552	0.0039056654938458913	1.0119370478142558e-05	2.5183971651878862e-08	70.0	0.19138825235903204	77.67704280155642	41.0	108.0
images/00000/SPC-EAWAG-0P5X-1539130475006053-4813006569616-008659-010-2238-2032-48-100.jpeg	2018-10-10 02:14:35	7.466	0.2862690955547123	0.03959984097317588	0.011336210659501496	-72.21883198778693	0.958149260256609	0.641192917054986	2.1316596604831e-05	0.0002644672	0.05156516000350034	3.557770244956905e-08	1.4382952262120487e-15	1.2834216360030617e-10	-9.126627115598418e-17	36.62225489336848	0.004511216447140137	1.4501101953138678e-05	4.612193772550032e-08	64.0	0.23100961090284639	65.59011627906976	32.0	91.0	0.05300217605070543	4.44867690563526e-08	2.301636271849968e-15	1.7239385393455257e-10	-1.5653151654541433e-16	33.682122535530816	0.00489204332858978	1.689585623514139e-05	6.044840644334086e-08	57.0	0.2359984871561509	58.96075581395349	28.75	84.0	0.04841190909275901	3.2573328162567105e-08	1.2116952617411916e-15	1.1508602273512578e-10	-8.018196886913308e-17	38.16189421431197	0.0044340247800379665	1.399324016211307e-05	4.2667579139707977e-08	64.0	0.2167156783050832	66.86337209302326	32.0	93.25	0.05263753620236586	3.008648514622964e-08	1.0058758901784546e-15	1.023134699982839e-10	-5.84858290254797e-17	39.994360125611266	0.004208791468385761	1.2724983028441479e-05	3.727693509522875e-08	67.5	0.2372196621895689	71.95494186046511	37.0	99.25
images/00000/SPC-EAWAG-0P5X-1540255805174297-5938319910497-029949-093-1432-678-88-64.jpeg	2018-10-23 02:50:05	7.91	0.3498691695911698	0.03831937100345268	0.01340676651223394	32.48369089637934	0.9367985718229854	0.7361222847948512	2.8850614835489805e-05	0.000351726	0.037342751194065896	1.0981498896445225e-08	1.3608410445839299e-16	3.3002921816754804e-11	6.92778228552753e-18	44.49903314846445	0.003795089913250214	9.84898554424338e-06	1.4020193540222554e-08	37.0	0.14305527130197318	53.58579234972677	17.0	79.0	0.04040559014050046	1.6938684543531535e-08	3.2947905699519573e-16	5.906639976988781e-11	1.3736909490757022e-17	37.942876042756836	0.004448574780999751	1.3369752426454706e-05	2.23754028547345e-08	32.0	0.1540626952629125	45.45136612021858	14.5	70.0	0.03489725615767465	9.830941976197354e-09	1.1029793517723302e-16	2.9108372969579155e-11	5.3357744604656224e-18	46.20326964051393	0.0037450148629295174	9.648825040334345e-06	1.283407377818376e-08	37.0	0.13534991981163141	54.543169398907104	16.5	84.0	0.03667118332518749	7.876393978811496e-09	6.847543430912328e-17	2.0863559361977573e-11	4.164643372416247e-18	50.26429649883918	0.0033210786543255363	7.559054945459359e-06	9.63143047912384e-09	43.0	0.13943423815375666	61.72349726775956	21.0	90.5
images/00000/SPC-EAWAG-0P5X-1530538722171314-2252697054515-059091-201-1052-436-84-68.jpeg	2018-07-02 15:38:42	8.022	0.37857233953130864	0.03826395286049743	0.014485674154114222	-48.85656514270987	0.9255717064289463	0.7815533980582524	3.363224559491551e-05	0.0003713304	0.05162289868509844	3.2542087715587468e-09	1.392538053134165e-17	4.8297216875484425e-12	5.292258478686746e-18	48.507453479774355	0.003321091800832611	6.821988054960965e-06	6.4397420766057315e-09	49.0	0.15706782788895696	67.3136645962733	28.0	101.0	0.04722031530870266	4.866537462092061e-09	3.166602492743109e-17	8.48831573411886e-12	1.3515642007244484e-17	39.09836067864943	0.004036935530760155	1.0351675124303746e-05	1.028509408896065e-08	44.0	0.14369359206312	57.019668737060044	26.0	84.0	0.04834019536379769	3.1492864903887007e-09	1.2980044781501796e-17	4.681226777338418e-12	4.846915774632165e-18	50.57013607417101	0.0033026186742401197	6.78040202201567e-06	6.146193857727236e-09	47.0	0.1468052436489521	67.88923395445134	26.0	102.75	0.057068360586035455	2.202273576731358e-09	6.342096375331713e-18	2.7408327346523618e-12	2.325399681880361e-18	56.89050910355869	0.0028071562276789923	4.741851639617009e-06	4.272022434841519e-09	56.0	0.173866489777283	77.9679089026915	30.25	118.75
images/00000/SPC-EAWAG-0P5X-1536155284281500-1837858796110-064739-063-1400-398-32-96.jpeg	2018-09-05 15:48:04	5.016	0.27584106946705894	0.03819089806248672	0.010534618165463767	-89.41284665570603	0.961203258627055	0.7505112474437627	1.775358558597843e-05	0.00028214959999999997	0.02184486205250667	4.605386056475475e-09	2.7155278406613695e-17	1.2919757877500629e-11	-1.7454270385745963e-18	35.64649316706099	0.0035499794122272063	9.388594101898276e-06	7.580553768251774e-09	74.5	0.1230835055761772	76.94277929155314	44.0	107.0	0.028058012891496734	9.603847912643886e-09	1.1840703365623617e-16	3.3164316747310775e-11	-8.625965632176037e-18	32.8845853951537	0.004348967278392266	1.4209242969617339e-05	1.591175002334568e-08	62.0	0.15834108754303552	64.59673024523161	35.0	90.0	0.020008344939114516	4.464876836747728e-09	2.5515547928739604e-17	1.2303057745551322e-11	-1.5934807495565367e-18	36.43695261288982	0.003494174312802679	9.069817492142198e-06	7.342972075093561e-09	77.0	0.11185579108845303	78.67029972752043	46.0	107.0	0.0189469606662842	2.5426661109469838e-09	8.240819804467666e-18	6.030100930674707e-12	-4.776636140223106e-19	40.2042235022629	0.003006275450033265	6.702920556059388e-06	4.145047341650947e-09	87.0	0.10609578988805776	88.56267029972751	53.0	120.75
images/00000/SPC-EAWAG-0P5X-1535116614397666-799203593073-046039-010-594-1916-80-68.jpeg	2018-08-24 15:16:54	8.188	0.28066961105714194	0.0380491691855008	0.010679245516341902	-41.244102609064555	0.9598044433263646	0.6956066945606695	1.8176695409592663e-05	0.000255626	0.035525748890485626	1.9182042855967553e-08	4.518277548093532e-16	6.316668504275785e-11	7.763428470319627e-17	36.24522311653766	0.004526358887975134	1.4661424410778667e-05	2.9778122782868394e-08	57.0	0.14485771072086942	62.46165413533834	33.0	83.0	0.03509612624069427	3.647891906087913e-08	1.6609092290657025e-15	1.5361540301694805e-10	2.954310904017529e-16	30.569585467520774	0.005757585889698002	2.388741845637072e-05	5.86264503579057e-08	44.0	0.14491844257734277	50.10827067669173	25.0	68.0	0.0345560575662953	1.760399245769828e-08	3.826666185769443e-16	5.65001311289081e-11	7.017694426780716e-17	39.090074030715726	0.004449239402460555	1.4169945900287954e-05	2.7744277603488773e-08	57.0	0.13913745371429168	63.67218045112782	33.0	85.0	0.03652372346667775	1.1818807643149708e-08	1.6876151857139686e-16	3.237314737141339e-11	2.6517097656977838e-17	41.8319911845051	0.003745342372480526	1.000137154120015e-05	1.7677382920734875e-08	69.0	0.14946941865797128	74.5984962406015	39.0	99.0
images/00000/SPC-EAWAG-0P5X-1535675071852175-1357653173377-014619-020-1318-1546-68-92.jpeg	2018-08-31 02:24:31	9.73	0.30301941136749067	0.03803011982868837	0.011523864524724285	53.92414460514182	0.952984384097924	0.6245421245421245	2.1154978642732056e-05	0.0002621608	0.02970786494179791	8.599965479286451e-09	1.0792117566922189e-16	1.9478933710882115e-11	-3.840016986827281e-17	42.412487495465456	0.003759766918142934	9.810486595239997e-06	2.0629804948285483e-08	63.0	0.13460390375239434	70.36803519061584	35.0	95.0	0.028239283024725115	1.532583595024366e-08	3.4519255326613464e-16	4.2880635746356656e-11	-1.24654774028524e-16	37.93986365760923	0.004634082077816307	1.5063825363849357e-05	3.74183364357174e-08	51.0	0.12715297144587967	58.2008797653959	28.0	78.75	0.03138448982717642	1.0052521522050073e-08	1.454165833833786e-16	2.3862385209423412e-11	-4.695812317717977e-17	43.09550425400215	0.003813822027706265	1.0118668719534696e-05	2.2986949559300692e-08	62.5	0.1407314378306856	70.41642228739003	33.25	96.0	0.02902172388162411	4.466346265607128e-09	2.932745815298636e-17	8.04313093516972e-12	-1.1383411329988072e-17	47.88851402432245	0.003102091629387638	6.618300051006164e-06	1.1108065662585576e-08	77.5	0.13315831967585087	83.4574780058651	43.0	114.0
images/00000/SPC-EAWAG-0P5X-1536755606686387-2438172694292-019969-023-1974-1498-68-72.jpeg	2018-09-12 14:33:26	7.896	0.42865060003849303	0.03795524912107134	0.016269540310357714	52.70286039507383	0.9034703443315889	0.5278733654507914	4.208341938937442e-05	0.0002948348	0.02062651057507619	6.8808614571641825e-09	3.301756752954802e-17	5.5304769322372454e-12	-7.436961973464309e-17	40.42090230010961	0.003927021710277082	8.577393756750614e-06	2.03233433288871e-08	53.0	0.05653423501412948	66.8174706649283	34.0	93.5	0.02282791867581032	1.4083550901791863e-08	1.790423459321084e-16	2.0157833830927567e-11	-2.8540781331812206e-16	37.03126818185742	0.004882022440210589	1.3576596977564005e-05	4.0636106367758453e-08	39.0	0.06261595511555655	53.90091264667536	25.0	77.0	0.020039198739511804	6.082458639607513e-09	2.3775348753270784e-17	4.2317523260379725e-12	-5.96276357203364e-17	41.79029559897835	0.0038057872754636937	8.027709293091627e-06	1.8312002493869144e-08	55.0	0.054889545611087665	69.2425032594524	35.0	97.5	0.01997043129677158	4.200546775472164e-09	1.0116241482248384e-17	2.200858478952058e-12	-2.858607952848117e-17	44.288294933705444	0.003346191059627068	6.128337970221626e-06	1.2406101700772353e-08	66.0	0.05457294030729243	78.27379400260756	41.0	106.0
images/00000/SPC-EAWAG-0P5X-1536889911230192-2572475305022-066999-011-2662-2154-68-80.jpeg	2018-09-14 03:51:51	8.538	0.3634442078150149	0.037894529619225154	0.013772547297981904	39.58795236371474	0.9316159658387765	0.6461168935148118	3.0108815810758548e-05	0.0003102108	0.04897882891798571	7.523046281938676e-09	3.1952006972107344e-17	1.706453206567471e-11	8.936268420976225e-19	41.49205420481397	0.003146006538242102	5.704419800991673e-06	2.3996873093904566e-09	66.0	0.15705869878017106	74.71747211895911	38.0	105.0	0.05835721081033331	2.1020225508167647e-08	2.5183464911352307e-16	6.354219893351554e-11	4.976934843119386e-18	34.286852565797396	0.004144015972050351	9.940628997195374e-06	6.831065354941769e-09	49.0	0.19035444392586306	57.49442379182156	28.0	83.0	0.047798203617150134	7.25263971742244e-09	2.9683554049440707e-17	1.619547818533539e-11	1.3844433263225185e-18	43.95682872849327	0.0030782748643867148	5.460268516936651e-06	2.314659849086919e-09	67.0	0.1526123010615387	77.09541511771995	39.0	107.0	0.043735526559944934	3.420374748308785e-09	6.5602649189995456e-18	6.221175958720576e-12	9.083699171115074e-20	49.44843978097452	0.0025556846003832903	3.7640589325891103e-06	1.075734107108207e-09	80.0	0.13890869029294708	90.57992565055763	46.0	129.5
