url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1580983543558725-1729077625617-003339-038-2288-256-88-44.jpeg	2020-02-06 11:05:43	6.118	0.33947100611633574	0.03199853334187271	0.010862574307812645	-16.636792664632164	0.9406165191013619	0.7431906614785992	1.581554647954486e-05	0.0002202612	0.014355254123047194	2.7066500769262435e-09	1.086608413902613e-17	5.275301204383832e-12	-3.2453563624762257e-18	38.267880974963795	0.002832498810868931	5.227199218517686e-06	6.485725329256786e-09	97.0	0.04997637912776198	99.74520069808028	71.0	125.0	0.019722878635628594	4.934208152551844e-09	3.4801058499194427e-17	1.1062581818273724e-11	-8.90244861525712e-18	31.811630343546415	0.0031965972212473935	6.544006950102011e-06	1.0741401175260097e-08	85.0	0.08061397755955689	88.59162303664921	65.0	110.0	0.01621706230144266	2.5525891348492527e-09	9.686312502526278e-18	4.886039361329619e-12	-2.865447851565011e-18	42.22084990021649	0.0027753858997032923	5.046941054190659e-06	6.134911443156984e-09	100.0	0.0515755610123032	101.82722513089006	70.0	128.0	0.008928995993928194	1.6128381666601637e-09	3.97757655750423e-18	2.7636015643445027e-12	-1.4008484059127853e-18	42.43365401292035	0.0025629675540770947	4.313584637225825e-06	4.238816887276753e-09	109.0	0.02611793221957345	109.81500872600348	79.0	137.0
images/00000/SPC-EAWAG-0P5X-1582020024405814-2765543479477-000149-095-1986-260-40-64.jpeg	2020-02-18 11:00:24	3.864	0.5271725597844475	0.027109983923219446	0.014291639620518817	56.79963556999183	0.8497582551586734	0.9149940968122786	2.3194338032361185e-05	0.00029790999999999997	0.005705047129159428	6.921695395714702e-12	9.498302026082232e-23	4.551004755484584e-15	-3.1313468523810254e-23	50.381728581082825	0.0016963348783321764	1.165991178514476e-06	3.016218155459826e-11	74.0	0.011376999669973025	84.98838709677419	39.0	127.0	0.004076703041456978	1.3230316240615697e-11	3.7112885913923955e-22	7.764017103427521e-15	2.1828042408909888e-24	41.87059189651883	0.001984630790446746	1.5889787473663473e-06	5.947764997904002e-11	67.0	0.00799443265609524	74.29290322580646	36.0	110.0	0.0074242097156882545	6.710691086152255e-12	8.428794627353024e-23	4.8205055083182416e-15	-4.3726091937796894e-23	52.763277930989965	0.0016589632613635314	1.1249827568905335e-06	2.983546598469754e-11	76.0	0.01697500968741125	86.49290322580646	38.0	130.0	0.00593306230757231	3.684722307578828e-12	2.6045119954459865e-23	2.2596650035077485e-15	-1.2386135245230359e-23	56.90757060437188	0.0014996958288716884	9.043108708622322e-07	1.6625937833177768e-11	83.0	0.010508373878765347	95.1741935483871	44.0	142.0
images/00000/SPC-EAWAG-0P5X-1580983424549786-1728958615724-002149-000-3078-2550-64-49.jpeg	2020-02-06 11:03:44	4.504	0.8890376280705623	0.023927099198342395	0.021272091517903373	46.73070039523611	0.45783413576825904	0.9600371747211895	4.535227161299114e-05	0.0003970852	0.01909274795799102	2.1494055396611167e-11	4.925007901875197e-22	-2.7597949055058197e-15	-5.903086396341377e-23	49.32202728868265	0.0014875964399089646	1.648646785400641e-08	2.4777277037505644e-11	63.0	0.03183184221889965	71.7783155856728	25.0	114.0	0.014723510663788249	2.6566189738617133e-11	6.206024402524555e-22	-3.996916872834406e-15	-3.963682814240697e-22	44.92449347163654	0.0016267865545454864	2.401323783687246e-08	2.8921173964697367e-11	58.0	0.02573832897829601	65.594385285576	23.0	105.0	0.02599970734096977	2.3099810547550872e-11	5.277940075026714e-22	-2.8390762649997746e-15	7.135693535176e-24	51.75812468619722	0.001460987385287388	1.5105965831924274e-08	2.260388200839843e-11	66.0	0.04263686913076916	72.82478218780251	23.0	116.0	0.016376683846441187	1.6076232125859667e-11	3.0278516180164886e-22	-1.7838607329514797e-15	4.567548140042245e-23	52.4952408270201	0.001381508377527995	1.2701837810773241e-08	2.2567758910936896e-11	71.0	0.02683790661665197	77.96999031945789	30.0	123.0
images/00000/SPC-EAWAG-0P5X-1580983304538488-1728838605748-000949-021-3720-1118-56-60.jpeg	2020-02-06 11:01:44	4.524	0.9645541466884484	0.023761006572544235	0.022918777419039017	-38.793087003028326	0.26388500924857217	0.9343257443082311	5.228009131833012e-05	0.00041015480000000003	0.03571353145658954	4.1516890237380683e-11	5.514642763778829e-23	-6.357706044366009e-15	-4.705075172050678e-22	55.74110073917432	0.0013948786395446247	1.2793748791713406e-07	3.1360582097600834e-12	70.0	0.05629252632241257	75.13683223992503	20.0	118.0	0.032001390401572065	4.341430839173606e-11	2.2019044721508745e-22	-7.781536913558654e-15	-2.4411909963637995e-22	50.930201039265555	0.0015097200499594133	1.688079102446465e-07	1.3208044074175054e-12	65.0	0.050711008688264135	68.92314901593252	17.0	108.5	0.042472994712967435	4.4939136726782465e-11	1.5849830510073907e-22	-9.038662702186264e-15	-4.511520487257896e-22	58.19169121670043	0.0013753343429828565	1.3053272171793876e-07	2.519508350644683e-12	70.0	0.06638886948248414	75.71977507029054	18.0	121.0	0.032652239541329	3.525182859900383e-11	-1.1062047303803743e-22	-3.272332357706467e-15	-5.551816231164686e-22	59.02988558355995	0.0013017399986689786	9.376530478482207e-08	7.31532548527103e-12	77.0	0.05173614409668625	81.81818181818181	25.0	126.0
images/00000/SPC-EAWAG-0P5X-1580983216516057-1728750598432-000069-002-1730-2426-56-36.jpeg	2020-02-06 11:00:16	3.11	0.6208210096583878	0.022203639444656895	0.013784485858122697	-4.056578606120001	0.7839523416424878	0.9704049844236761	1.7672334370753348e-05	0.0002394812	0.010752813774175026	1.5378046477418667e-11	1.769988148826559e-22	8.615105409266236e-15	1.7283157149976574e-22	60.06823510696618	0.001422572526682361	5.277202892779541e-07	1.6828413642295732e-11	74.0	0.021495790552964328	79.5505617977528	20.0	131.0	0.00910958283099136	2.1142658269471488e-11	3.651402205174619e-22	1.7594827578382497e-14	6.067105947396973e-23	52.37399642077548	0.0016592138410605995	7.389540007334807e-07	1.4496671269999407e-11	72.0	0.016546308273710814	71.56500802568219	20.0	114.0	0.015915734573396404	1.3165573538818522e-11	1.2108619982890613e-22	6.909043781325644e-15	1.3178558630615726e-22	62.484559344231855	0.0014024235271177243	5.292187841281274e-07	1.4035510498976164e-11	71.0	0.027628029540734383	80.47833065810593	18.0	134.5	0.018928102719577136	1.0815842590781795e-11	6.290765507372538e-23	4.26722360725513e-15	1.383737723607939e-22	68.7246857681652	0.0012421094272908192	3.913605781367757e-07	1.8260756685267145e-11	77.0	0.03612416046501148	87.62279293739968	20.0	150.0
images/00000/SPC-EAWAG-0P5X-1582020389502997-2765908509821-003799-051-2448-1478-44-40.jpeg	2020-02-18 11:06:29	2.85	0.6641323245151232	0.019347698243691418	0.012849431808599947	-29.552206579520163	0.7476150450159086	0.9487666034155597	1.3380913476727984e-05	0.0001922	0.01897284515604775	1.0107869985921837e-10	6.959068487706999e-21	6.728580272815906e-14	-6.97930227466025e-21	49.20813347405082	0.0017363658626109823	4.871824226577374e-07	9.406238871752892e-11	61.5	0.04005437287515054	68.46	24.0	99.25	0.013471902386092862	1.52909150179596e-10	1.7637689246573774e-20	1.1855785371769859e-13	-1.4246854935488897e-20	42.131436006858344	0.0020304133580058086	6.912830337693825e-07	1.43785203657909e-10	54.0	0.028467104048248218	59.99	21.75	89.0	0.021906808707485428	1.0348958214943082e-10	7.104893314980719e-21	6.842256764828862e-14	-7.217994992603158e-21	52.12048576135875	0.0017090788932484185	4.832323244830363e-07	9.254828907289037e-11	60.0	0.04621471528862228	69.158	22.0	100.25	0.020271616271358425	6.400311497609027e-11	2.741600253753495e-21	3.7202422877612517e-14	-3.1993445434313973e-21	54.34275292989857	0.0015260055239313965	3.570788871481874e-07	6.770929579114806e-11	71.0	0.04280417282791468	77.198	28.0	112.25
images/00000/SPC-EAWAG-0P5X-1580983220517559-1728754598765-000109-032-3558-1040-44-36.jpeg	2020-02-06 11:00:20	2.494	0.7936095564244207	0.01801235885355539	0.014294780119927577	15.707113081257125	0.6084273760703363	0.9160714285714285	1.541750716606979e-05	0.00019719720000000002	0.02278568604212032	2.3476297066248214e-11	-4.521919622726475e-23	6.141398667780401e-15	2.7993760785340674e-22	55.0545798959034	0.001226844691568504	9.567919455629453e-08	6.2147034321439556e-12	89.0	0.04348146325667626	91.94541910331384	38.0	142.0	0.006330206995059265	1.72577934374847e-11	-1.4892108476373048e-22	4.217221997361307e-15	1.458998042201624e-22	48.02983189963767	0.0013784767854068936	1.1278795428438543e-07	8.456220797044135e-12	78.0	0.010974109170695249	82.34307992202729	36.0	124.0	0.030683857306591664	2.82632238134081e-11	7.160836413662453e-24	7.0320099068230036e-15	3.482788323162248e-22	55.88420916777826	0.0012207858901049531	9.062360445755809e-08	5.374927632373327e-12	88.0	0.05855531071047451	92.33333333333333	39.0	143.0	0.03046099888421226	2.1070421259218912e-11	2.715136357233657e-23	5.2509820476534666e-15	2.3959510581740757e-22	63.73558901973069	0.0010895930269353446	7.664731577419383e-08	6.215525677788778e-12	97.0	0.05808462356474199	102.16764132553607	41.0	160.0
images/00000/SPC-EAWAG-0P5X-1578384171712669-11566030145133-001619-005-3116-1598-136-112.jpeg	2020-01-07 09:02:51	20.462	0.6418688586483637	0.08785833849278085	0.05639353145110285	24.51583714369755	0.7668144288531918	0.5522262671520582	0.0011703888576334064	0.0022741104	0.0405021319597846	6.205254947962632e-09	5.674160658897698e-17	7.824596530868594e-12	-1.1669646114012714e-17	47.20752333124292	0.0027926104081932865	1.6694587725338398e-06	1.4044812937654581e-08	86.0	0.05704044627558149	88.66632860040568	49.0	120.0	0.03973493086279821	7.883506771891997e-09	9.183379339105409e-17	1.0725055592710216e-11	-2.0242843840855603e-17	43.31202651572788	0.00305629844028619	1.9294421800005385e-06	1.8048952942844493e-08	81.0	0.05486779465957227	82.2447599729547	45.0	111.0	0.041140220864283324	5.781644396840242e-09	4.916149352985618e-17	7.1194507176757615e-12	-1.0587895197863137e-17	46.92437842500034	0.0027463004393504403	1.5893012737692487e-06	1.3085404083794388e-08	87.0	0.057709156644615095	89.84364435429345	52.0	121.0	0.04058789144213311	5.165487815089211e-09	3.934546117701304e-17	6.1568067235286586e-12	-7.44922430928079e-18	52.703295734758086	0.002588168645375535	1.5019431309573354e-06	1.1634565709460468e-08	90.0	0.05823174592953675	94.92968221771467	51.0	129.0
images/00000/SPC-EAWAG-0P5X-1555333525597864-2239012080317-003159-058-3504-62-132-112.jpeg	2019-04-15 15:05:25	22.662	0.24619193377984938	0.07756018122664068	0.01909469100050224	-42.97596474177528	0.9692210953862582	0.6260142611261372	0.00011845480825998101	0.0009786824	0.005219120885052586	3.0829795528987123e-10	-1.6861893020961417e-19	-8.534344443520876e-13	-2.044708610135724e-19	42.64090192564413	0.0038541068959342404	1.2215602503536773e-05	2.397048124827063e-09	76.0	0.02146041884498495	84.4815396700707	51.0	115.0	0.005560037300017444	3.6811764495053855e-10	-3.696907161296224e-19	-1.467462482680036e-12	1.6462439634472303e-19	35.54938692831522	0.004634128260808303	1.7750038738996343e-05	3.2830753844524567e-09	67.0	0.02210536092166317	69.72623723487824	41.0	95.0	0.005957680524518044	3.159596646658373e-10	-1.9249638918665046e-19	-8.896808408603612e-13	-2.0177076753114058e-19	42.63542810257179	0.0037747915842372822	1.1686623374694757e-05	2.4654518064298637e-09	79.0	0.025331716332656847	87.0553809897879	52.0	118.0	0.009705030981873355	2.838120115520558e-10	-7.746622888399675e-21	-3.4036489649140506e-13	-1.9897264178639903e-19	52.528575040177046	0.0033277089011767673	9.121173788922954e-06	1.7344117868792034e-09	84.0	0.04095878920116525	97.66457187745483	56.0	134.0
images/00000/SPC-EAWAG-0P5X-1555333563559865-2239050083476-003539-074-498-172-104-84.jpeg	2019-04-15 15:06:03	13.0	0.3350910658396401	0.07206899303992158	0.024149675691736927	-36.33896356383714	0.9421857447416905	0.5522193211488251	0.00017605958315060818	0.0008130059999999999	0.020654607417730935	9.210336988336392e-09	1.8983655097920434e-16	2.214738580509792e-11	8.467274378873401e-17	36.4077120771824	0.005309022662331159	1.733096083739428e-05	5.530080684986265e-08	54.0	0.05186520928880135	64.77399527186762	39.0	80.0	0.019245666319395473	1.272862169132036e-08	3.680116747040247e-16	2.8752444156940942e-11	2.684564665883723e-16	30.469566771955595	0.006791486499071032	2.9399138512065208e-05	1.0061831378301568e-07	41.0	0.05108936833542072	51.1531914893617	29.0	65.0	0.020848839957176728	9.635856226378257e-09	2.0504155062832748e-16	2.4743230286132023e-11	7.482752261512705e-17	36.05327041626937	0.005212512770608149	1.6591123064740518e-05	5.3249032089946e-08	55.0	0.05175715880920532	65.58345153664303	40.0	81.0	0.022714168965916003	6.089137009066804e-09	8.062571550724445e-17	1.2646949210186029e-11	3.206558892511239e-17	44.16437999014894	0.004381328118778756	1.1633142166013864e-05	3.334672706607213e-08	67.0	0.054974219942887044	78.6047281323877	48.0	97.0
