k,trial,qnn_acc,qnn_f1,fair_acc,fair_f1,cnn_acc,cnn_f1
2,1,0.7494824016563147,0.6450362902001275,0.6873706004140787,0.4073619631901841,0.7991718426501035,0.7232336956521739
2,2,0.7091097308488613,0.5213698422410342,0.6873706004140787,0.4073619631901841,0.7908902691511387,0.711820652173913
2,3,0.7349896480331263,0.6064997804128239,0.6873706004140787,0.4073619631901841,0.7877846790890269,0.6897574364686585
3,1,0.5375302663438256,0.23767990926662516,0.5359160613397902,0.232615169031354,0.648910411622276,0.5189466512938199
3,2,0.5359160613397902,0.23322795925535653,0.5359160613397902,0.232615169031354,0.6634382566585957,0.613485062921194
3,3,0.5375302663438256,0.23869247146584704,0.5359160613397902,0.232615169031354,0.6908797417271993,0.6078779979171386
4,1,0.3795470144131778,0.28899133519757714,0.4557309540150995,0.1565299387081565,0.7028140013726836,0.6722294896488381
4,2,0.47494852436513385,0.2224553796718745,0.4557309540150995,0.1565299387081565,0.664378860672615,0.6326651509729403
4,3,0.4605353466026081,0.17470839998217838,0.4557309540150995,0.1565299387081565,0.6623198352779684,0.5911082126477143
5,1,0.3902877697841727,0.22731375294582615,0.40047961630695444,0.12328636580219184,0.617505995203837,0.5371434787596971
5,2,0.4094724220623501,0.15016258793168935,0.3980815347721823,0.11389365351629503,0.6258992805755396,0.535051455077331
5,3,0.4118705035971223,0.15513299468264583,0.3980815347721823,0.11389365351629503,0.6097122302158273,0.5217959726117566
8,1,0.3245214220601641,0.11271503563639557,0.30264357338195075,0.058082575227431765,0.5419325432999088,0.491139524980296
8,2,0.325432999088423,0.11372260440010563,0.31859617137648133,0.08585556683709655,0.5587967183226983,0.5046172781930882
8,3,0.3263445761166819,0.11587278418450667,0.30264357338195075,0.058082575227431765,0.5597082953509571,0.5169839393992177
12,1,0.25257731958762886,0.05243598687250376,0.24447717231222385,0.03274161735700197,0.39212076583210603,0.23998679362601272
12,2,0.25257731958762886,0.05174955843612869,0.24558173784977907,0.03510493827160494,0.42967599410898377,0.3067383520351509
12,3,0.25625920471281294,0.0641541239347279,0.24447717231222385,0.03274161735700197,0.46207658321060385,0.3554170481006782
16,1,0.2234527687296417,0.03517514009023488,0.21628664495114006,0.022228173540439208,0.39446254071661235,0.24170183479002239
16,2,0.18729641693811075,0.05002278353343441,0.21628664495114006,0.022228173540439208,0.3684039087947883,0.2597371542543436
16,3,0.2260586319218241,0.03877900832503153,0.21628664495114006,0.022228173540439208,0.40716612377850164,0.261174135499048
