0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
545,15,43,0,27,2,3,5,5,5,6,0,0,8,0,0
162,60,38,2,11,1,0,6,7,1,7,0,0,2,4,0
62,19,84,2,49,10,6,13,3,6,14,0,0,4,1,0
54,1,12,13,9,0,57,33,0,30,1,1,0,2,4,1
74,10,49,1,37,2,5,6,0,6,14,1,0,6,0,0
4,2,2,0,0,181,0,0,1,0,0,0,0,0,0,0
40,4,10,13,7,0,40,23,0,27,5,1,0,3,1,0
24,6,24,6,9,0,17,63,0,4,7,0,0,1,1,0
36,21,22,0,14,30,0,1,16,2,5,0,0,1,1,0
46,0,4,3,15,1,21,6,0,35,7,3,0,2,1,0
9,5,18,0,25,8,4,0,3,6,35,0,0,9,0,0
5,0,5,4,4,0,51,7,0,22,2,4,0,1,1,1
26,0,1,4,2,0,48,4,0,18,0,0,0,1,0,0
21,2,12,7,4,0,8,14,1,6,6,1,0,1,1,1
58,3,10,2,3,0,0,1,1,0,2,0,0,4,0,0
0,0,4,1,1,0,47,11,0,7,1,1,0,0,0,8
