0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,31,41,163,261,23,3,6,2,0,0,58,13,7,0,54
0,12,7,177,44,16,2,2,1,0,0,17,0,3,0,21
1,10,19,78,42,69,0,2,2,1,0,17,3,4,0,24
0,0,0,211,0,4,0,0,0,0,0,0,1,1,0,1
0,4,7,77,41,52,1,0,0,0,0,12,2,2,0,13
0,0,19,0,13,138,2,0,3,0,0,6,1,0,0,9
0,0,0,154,4,13,0,0,0,0,0,0,0,2,0,0
0,0,1,148,0,8,0,1,0,0,0,3,0,0,0,2
0,11,17,7,39,43,0,1,0,0,0,11,3,0,0,17
0,1,0,118,2,13,0,0,0,0,0,0,1,6,0,3
0,2,2,56,9,46,0,0,0,0,0,3,0,0,0,3
0,0,0,103,1,2,0,0,0,0,0,1,0,0,0,1
0,0,0,98,3,2,0,0,0,0,0,0,0,0,0,0
0,0,0,75,1,5,0,0,0,0,0,2,0,0,0,2
0,4,4,34,31,7,0,0,0,0,0,2,0,0,0,2
0,0,0,79,0,2,0,0,0,0,0,0,0,0,0,0
