url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1533518440410452-5232375038104-048299-021-1104-1610-216-116.jpeg	2018-08-06 03:20:40	37.034	0.38336155372548625	0.13637004664311056	0.05227903296271989	12.779975118428576	0.9235983537908571	0.4316208393632417	0.0015612149072604068	0.0027515352000000003	0.009874352802002535	3.369655268138414e-08	1.6603682368201267e-15	1.8402117672188947e-10	-1.9423085516244323e-15	30.9254848938507	0.00954951854178776	4.672725234562547e-05	1.7065376401440216e-07	46.0	0.02517244338118528	52.94118468846047	30.0	67.0	0.014599289795304145	5.266225246822571e-08	4.08217484549428e-15	3.225891567766189e-10	-4.759430718518394e-15	29.025770568280137	0.01082398921477563	5.843753933448271e-05	2.6919978204144083e-07	40.0	0.03737209832554332	47.059374126851075	26.0	60.0	0.011357022681045667	3.6053778808337506e-08	1.9316354536564744e-15	1.9817786253765484e-10	-2.134915329417777e-15	31.070531084607943	0.009497072300054064	4.5880318971641995e-05	1.7686989102668071e-07	46.0	0.028933974891545648	53.0166247555183	30.0	68.0	0.004729968241229708	2.055588306777625e-08	6.084123444975919e-16	9.937229658728068e-11	-7.367311897687792e-16	34.107872920050475	0.008432729083853615	3.750288594577571e-05	1.0510734644132608e-07	52.0	0.011781690398919908	59.75342274378318	35.0	76.0
images/00000/SPC-EAWAG-0P5X-1533518500401465-5232435043092-048899-061-3068-1030-112-204.jpeg	2018-08-06 03:21:40	33.688	0.3264043588276692	0.12985598146674104	0.042385558370589306	-68.22949831260685	0.9452302336141699	0.5037513397642015	0.0009772065872499893	0.002529352	0.031883162299609386	2.2906342292660273e-08	7.063743549323969e-16	8.849439893304385e-11	-6.090570155279355e-16	36.53427778176758	0.006342267689682022	2.60061846684986e-05	7.237851520482169e-08	51.0	0.05469791204305752	61.330395136778115	32.0	85.0	0.03171800803003482	3.3540380462089305e-08	1.4874764989499253e-15	1.432556727000472e-10	-1.4098541787740015e-15	31.98289123876468	0.007286728515919197	3.355552562656344e-05	1.1132015077895403e-07	45.0	0.05887654980675544	53.44498480243161	27.0	74.0	0.03368104183835341	2.1956993781514797e-08	6.438187398402531e-16	8.205416272513028e-11	-5.749144108633128e-16	38.29267103285464	0.006252490509124578	2.5106339632730502e-05	7.038086958129116e-08	51.0	0.05824057911211292	61.780699088145894	31.0	86.0	0.030486700883841693	1.649365917120676e-08	3.7345055452905387e-16	5.936844432318056e-11	-2.8412310925330647e-16	40.41208160043157	0.005616240819621776	2.0892748682519673e-05	4.907372496797872e-08	59.0	0.05019450158838345	69.77507598784194	37.0	95.0
images/00000/SPC-EAWAG-0P5X-1539912544167718-5595064200753-053339-148-1944-530-256-304.jpeg	2018-10-19 03:29:04	103.668	0.5429895624494622	0.1285190363948809	0.0697844953384829	70.06198234757724	0.8397394447511334	0.42675222603591506	0.002621645430083745	0.0032977676	0.014899267912516603	2.4448416109958256e-08	1.2558570141441e-15	6.651911541667738e-11	4.865499774131334e-16	41.41268897206245	0.005103617946980349	7.912248978072786e-06	1.241260694825773e-07	49.0	0.038705472411813165	62.040797295722115	26.0	92.0	0.019709884369441058	3.7338696439315276e-08	3.0242060843931966e-15	1.0846861672715756e-10	1.2771687305774093e-15	36.916109278286676	0.005982491573767724	9.154707309556503e-06	2.070235341481467e-07	44.0	0.05172484660637683	54.74973773167036	24.0	81.0	0.015264252611214902	2.322466106915395e-08	1.1315461024392036e-15	6.154998097913423e-11	4.461028292488705e-16	43.227007565502404	0.005003741789102702	7.527656450739459e-06	1.1809696236253386e-07	49.0	0.039702789501666474	63.343979484788434	26.0	94.0	0.010666614620024073	1.731322912630565e-08	6.08627966148084e-16	4.4615154489348274e-11	2.0916862682154526e-16	45.69613323292484	0.004470905752043271	6.9906282335714125e-06	7.980946252744733e-08	56.0	0.027192241747171313	69.01923301084042	30.0	101.0
images/00000/SPC-EAWAG-0P5X-1529497725352365-1211714748836-017159-014-2200-2274-260-120.jpeg	2018-06-20 14:28:45	40.842	0.4122852430791338	0.1283861000680614	0.05293169447454269	-20.632559898737053	0.9110548163196217	0.6112038970076549	0.0015067396262798505	0.0033761852	0.025395433749184994	4.714125565144227e-09	3.537875113270088e-17	9.929951793251236e-12	1.576851682542178e-17	51.8088928423556	0.0030067473795689264	4.892308330808491e-06	1.432106429118861e-08	87.0	0.037871475197782695	88.07207104633952	39.0	130.0	0.02585333440704689	6.391153644184107e-09	6.554617156424763e-17	1.510935761468176e-11	2.914019141474142e-17	44.583943681260976	0.003387316159093658	6.212311167124876e-06	1.970995818224579e-08	81.0	0.038282753381489024	80.57577137652282	39.0	116.0	0.024142018721374815	4.627592590596721e-09	3.405227287481419e-17	9.637497359877628e-12	1.4961852154834928e-17	53.38673005433927	0.0029657803302933303	4.761196042594992e-06	1.396004801110863e-08	88.0	0.03654731695239094	89.44130707047705	39.0	132.0	0.025920831534570307	3.551260550266216e-09	1.9966094064306696e-17	6.7497249976428944e-12	9.091354680128509e-18	58.049945988297985	0.0027152810772765284	3.980746591554813e-06	1.0746477238859604e-08	92.0	0.03842885159754158	95.20209495616533	40.0	143.0
images/00000/SPC-EAWAG-0P5X-1537146946844332-2829507252551-045369-005-978-2370-156-148.jpeg	2018-09-17 03:15:46	33.506	0.17889362813603055	0.12352094917616603	0.022097110748930573	-42.174405028053535	0.9838684209854118	0.4919412352018257	0.0002526388956423275	0.0013257956	0.007471459246224255	7.690049118376691e-08	6.8668581856752334e-15	5.69152131392947e-10	4.269851892770164e-16	37.986834970027175	0.007877912185619604	5.5388777653173585e-05	1.0408897797038302e-07	72.0	0.031150135697512064	78.78109596984633	48.0	100.0	0.010152054463736439	1.5010994971295482e-07	2.5991989515555816e-14	1.3169819994348063e-09	1.593390502434257e-15	32.854192988978234	0.009361148712630996	7.786597443837626e-05	2.0048397285499637e-07	58.0	0.04260057407515666	64.8390837924036	39.0	82.0	0.008518196305751105	8.368788339227933e-08	8.078420770113871e-15	6.1825686374813e-10	4.75486074006201e-16	39.344581753440494	0.007862961772399205	5.5150712707672913e-05	1.1172931575393668e-07	72.0	0.03590279392911812	78.90924905769788	47.0	101.0	0.005983136047072953	3.97620362645017e-08	1.858569231776284e-15	2.523288327963064e-10	1.235249804797348e-16	43.49028154626834	0.006745511292444131	4.074341360031794e-05	5.519068679922007e-08	86.0	0.024956241739377577	93.60191359814439	58.0	120.0
images/00000/SPC-EAWAG-0P5X-1543627904003367-9310368346980-054939-051-908-66-316-208.jpeg	2018-12-01 02:31:44	73.646	0.4346406572580202	0.12204361892050627	0.05304511874175619	2.9522286746129125	0.9006039634924533	0.5103169251517194	0.001438449230669422	0.0029091392000000003	0.01101756596070577	3.382923517734378e-08	1.854973080670158e-15	1.2828829836240984e-10	3.18377080971085e-16	39.994625147035194	0.005191080061743227	1.4383043374636708e-05	9.149712849231656e-08	46.0	0.037147496488287086	52.26109936575053	16.0	77.0	0.011949419615917136	4.877059764191609e-08	3.960956593609437e-15	2.05494700676963e-10	8.26565378497192e-16	35.33501662282448	0.0059485622211810415	1.7775397830971997e-05	1.4113599238930246e-07	40.0	0.04284514974994986	46.994978858350954	16.0	68.0	0.011812078581368811	3.35317188896223e-08	1.8097781639955974e-15	1.2663341373325925e-10	2.9405534882161367e-16	41.77717437677903	0.005144430349152177	1.4262944863645703e-05	8.916614127181777e-08	46.0	0.03882573394395298	52.99537526427061	15.0	79.0	0.009793264571034403	2.4227801930627307e-08	9.30528401110009e-16	8.280791323791582e-11	1.3536788681621034e-16	44.07102379570116	0.004587773228627507	1.1682370260389612e-05	6.217448336158545e-08	51.0	0.031264156634185344	57.788319238900634	17.0	87.0
images/00000/SPC-EAWAG-0P5X-1529456972443485-1170962400396-041629-074-306-1126-264-240.jpeg	2018-06-20 03:09:32	75.964	0.4013354760302506	0.11969927881156399	0.04803956704231672	34.32121315895932	0.9159311304238831	0.5022342010071636	0.001157119766301909	0.0027219364	0.002143287616339681	9.944474288173436e-08	1.530472030851902e-14	5.825889673370578e-10	-6.253670148771616e-17	29.65211220734119	0.007545567223560234	3.4472523074466646e-05	2.381839855544271e-07	35.0	0.006707648993553549	41.765428611778	17.0	59.0	0.007789617852556871	1.7707921192332022e-07	4.815842221246518e-14	1.1962474921713674e-09	-5.3664236258697975e-17	25.024422702306982	0.008848427244670935	4.5798113231989775e-05	4.176786702807071e-07	31.0	0.025940872906146932	36.85694111001271	16.0	52.0	0.0019775691874662845	9.58128819607312e-08	1.4181284332989237e-14	5.551743832757844e-10	-3.604918875165958e-17	30.3225702250998	0.007451217530063366	3.37123183875916e-05	2.286452718737407e-07	36.0	0.0061992541423832245	42.368592006778705	17.0	60.0	0.002927599726603747	6.033441392753404e-08	5.653533937560994e-15	3.0882767709741673e-10	-1.3429131080463795e-17	34.86633325167749	0.006523091498440944	2.631983005383051e-05	1.455282014658224e-07	40.0	0.009931520713481344	47.068351927693826	18.0	67.0
images/00000/SPC-EAWAG-0P5X-1531397091357745-3111054462040-002819-051-2300-474-240-232.jpeg	2018-07-12 14:04:51	79.27	0.38449324323072465	0.11917306334049711	0.04582123762952831	-39.54387260082991	0.9231278058372626	0.5495110526748295	0.001048094260870203	0.0025704828	0.015739254268449836	3.534011347797582e-08	2.248092552278513e-15	2.024848789285222e-10	-2.1846863522030778e-16	31.03502250575781	0.007122943786422061	3.2833396912833176e-05	1.1558639742284313e-07	42.0	0.05095154879818396	51.182892178854495	28.0	67.0	0.016457226000283643	5.636759552270548e-08	6.014629720655872e-15	3.9255609203149793e-10	-6.577768105983352e-16	25.731054463526142	0.008750513037964293	4.850030921621456e-05	2.0440556064703238e-07	37.0	0.053247966849342174	43.675041124570065	24.0	58.0	0.016031018054238184	3.21727841251056e-08	1.8437777290269884e-15	1.7702225267562386e-10	-1.760088251139889e-16	32.85431380752195	0.006828072277508644	3.0279984774445355e-05	1.0301273292776705e-07	43.0	0.051921539417937326	53.061761627037534	29.0	70.0	0.014643823697577768	2.500133328066633e-08	1.0886888312425742e-15	1.237676957996058e-10	-1.0109138226340718e-16	35.478575247688234	0.006121338465975174	2.4514255856279396e-05	7.64973819353951e-08	47.0	0.04740173586477814	57.81247196052041	32.0	76.0
images/00000/SPC-EAWAG-0P5X-1540904834111791-6587338931274-040239-107-2292-466-176-296.jpeg	2018-10-30 14:07:14	68.972	0.40129549729732605	0.11767065170406896	0.0472207026928848	-81.33585666189948	0.9159486469496485	0.5551872221803662	0.0010990606504113975	0.0028326436000000003	0.0155593285236085	5.617718135067912e-08	4.295957107304133e-15	2.1893702622661047e-10	3.5245810999247422e-16	34.0634085723145	0.0053673497941028195	1.5480519746614637e-05	1.047981422416321e-07	41.0	0.05328810540381801	49.828063509295696	23.0	68.0	0.01514322099477308	8.218096575207639e-08	9.466369378758783e-15	3.6625940886983827e-10	6.234466612080384e-16	28.856711486106548	0.006270227681471818	2.0165830854294477e-05	1.6215592305972657e-07	36.0	0.05560936698095787	43.8505903107613	21.0	60.0	0.0161263382291231	5.465322057333708e-08	4.058472566086479e-15	2.0924788275384883e-10	3.3156989697603484e-16	35.47668312724542	0.005281375471325044	1.4940137113578232e-05	1.0157037631388738e-07	42.0	0.0553623236269364	50.717736463563575	23.0	70.0	0.015523932751570454	4.0126024847569866e-08	2.1402352961210545e-15	1.395867265890394e-10	1.9282384034622587e-16	38.95351125821645	0.004701016383370103	1.2366388575709713e-05	7.147523505626628e-08	47.0	0.049327279127439276	55.92102049124712	25.0	76.0
images/00000/SPC-EAWAG-0P5X-1531357475182111-3071438850880-038649-085-996-920-216-332.jpeg	2018-07-12 03:04:35	102.06	0.3986608741597174	0.11757074826378408	0.04687085727845224	84.41144859697171	0.9170984175181036	0.49047902409997024	0.0010819163536332514	0.0025347336	0.011078306172519637	5.1330535068582245e-08	4.763339967214031e-15	2.88213887456519e-10	1.3413578334524614e-17	30.302084703098746	0.007465530870629498	3.288418928321332e-05	1.6776417582049508e-07	39.0	0.04356893544073725	47.28040643008796	24.0	62.0	0.01081203679430759	7.862264942581585e-08	1.1427758791172357e-14	5.007777429120552e-10	-7.751875711212848e-17	26.805664412284557	0.008619617262994945	4.2172612245790905e-05	2.687194423310372e-07	34.0	0.04036754252647251	42.00561116166212	22.0	55.0	0.01091426917556244	5.015214635356121e-08	4.5408709930592694e-15	2.8128612203444064e-10	1.2627406634004713e-17	31.36917381555336	0.007432974443797356	3.280397020627687e-05	1.6346060922770739e-07	38.0	0.04398195454691951	47.570973612374885	24.0	62.0	0.011363841881487832	3.524128784784158e-08	2.1912366954021127e-15	1.7412299409889828e-10	1.9690978080153703e-17	33.965303053068574	0.006500214297694836	2.55229547563484e-05	1.0971306326515189e-07	44.0	0.04533492111411827	53.251744009705796	28.0	69.0
