url	timestamp	file_size	aspect_ratio	maj_axis_len	min_axis_len	orientation	eccentricity	solidity	estimated_volume	area	intensity_gray_mass_displace_in_images	intensity_gray_moment_hu_4	intensity_gray_moment_hu_5	intensity_gray_moment_hu_6	intensity_gray_moment_hu_7	intensity_gray_std_intensity	intensity_gray_moment_hu_1	intensity_gray_moment_hu_2	intensity_gray_moment_hu_3	intensity_gray_median_intensity	intensity_gray_mass_displace_in_minors	intensity_gray_mean_intensity	intensity_gray_perc_25_intensity	intensity_gray_perc_75_intensity	intensity_red_mass_displace_in_images	intensity_red_moment_hu_4	intensity_red_moment_hu_5	intensity_red_moment_hu_6	intensity_red_moment_hu_7	intensity_red_std_intensity	intensity_red_moment_hu_1	intensity_red_moment_hu_2	intensity_red_moment_hu_3	intensity_red_median_intensity	intensity_red_mass_displace_in_minors	intensity_red_mean_intensity	intensity_red_perc_25_intensity	intensity_red_perc_75_intensity	intensity_green_mass_displace_in_images	intensity_green_moment_hu_4	intensity_green_moment_hu_5	intensity_green_moment_hu_6	intensity_green_moment_hu_7	intensity_green_std_intensity	intensity_green_moment_hu_1	intensity_green_moment_hu_2	intensity_green_moment_hu_3	intensity_green_median_intensity	intensity_green_mass_displace_in_minors	intensity_green_mean_intensity	intensity_green_perc_25_intensity	intensity_green_perc_75_intensity	intensity_blue_mass_displace_in_images	intensity_blue_moment_hu_4	intensity_blue_moment_hu_5	intensity_blue_moment_hu_6	intensity_blue_moment_hu_7	intensity_blue_std_intensity	intensity_blue_moment_hu_1	intensity_blue_moment_hu_2	intensity_blue_moment_hu_3	intensity_blue_median_intensity	intensity_blue_mass_displace_in_minors	intensity_blue_mean_intensity	intensity_blue_perc_25_intensity	intensity_blue_perc_75_intensity
images/00000/SPC-EAWAG-0P5X-1532090281606307-3804235538503-022719-023-2192-1984-408-328.jpeg	2018-07-20 14:38:01	182.274	0.5181496330669233	0.1836290314134706	0.09514731524732432	64.95472875792218	0.8552899845973954	0.4262413221552283	0.006963427039346901	0.0068207936	0.01859405101393011	3.5844693849213423e-09	3.638227705363619e-17	9.06799270442734e-12	1.5319309461170737e-17	42.31882549553951	0.004514927847230079	7.661667588882487e-06	3.383691408138441e-08	68.0	0.040330268700601135	73.77727682596934	37.0	101.0	0.01897119689640294	4.381971229960276e-09	5.5348453020361573e-17	1.1830484230011083e-11	2.450540618239968e-17	39.17312927952767	0.004881648007193925	8.727964632401595e-06	4.3545460855834174e-08	63.0	0.04128416392184482	67.94398106402164	34.0	93.0	0.0185927813242485	3.516291426580523e-09	3.5547689855423474e-17	8.891524327438265e-12	1.4602255921514362e-17	42.317214950052914	0.004522228204678028	7.692197863362452e-06	3.39692499622743e-08	68.0	0.04021644587187454	73.80167944093778	38.0	101.0	0.01803862375922301	2.8634474826175498e-09	2.2724546819103434e-17	6.742717187410843e-12	9.492304565391298e-18	46.56722310248147	0.004150959201636029	6.6027048416344925e-06	2.5832681696116787e-08	74.0	0.039124568892774554	80.58250676284942	41.0	110.0
images/00000/SPC-EAWAG-0P5X-1534639589228173-322184895837-027789-037-2644-1376-316-376.jpeg	2018-08-19 02:46:29	160.67	0.4546520959754168	0.17823643014780355	0.08103556654587485	-83.88505138635377	0.8906691145566689	0.46730291541377955	0.004902712539543954	0.0068699968	0.02374639673022541	1.7342022353406367e-09	5.915022421601848e-18	5.876043245651579e-12	-6.057942591072494e-18	43.517425709681255	0.004782093667481355	1.1686965299370264e-05	1.3744725923371808e-08	55.0	0.06459602644258244	65.27361235452103	29.0	94.0	0.02416939968232637	2.0955348729475523e-09	8.636401556972442e-18	7.63048752600744e-12	-9.141678992943473e-18	40.56349637746095	0.0051654867365041705	1.3485997609195817e-05	1.718722396181748e-08	51.0	0.06634089907231283	60.41651745747538	27.0	86.0	0.023617561454118714	1.5856936090420906e-09	4.9378372141297666e-18	5.354496718829396e-12	-5.3791597817588065e-18	43.98461832842779	0.004768515172681347	1.156786934903931e-05	1.337250394389346e-08	54.0	0.0640450022123564	65.47510071620412	29.0	94.0	0.0232383510640549	1.4427624599151324e-09	4.1511142187770885e-18	4.521898973264004e-12	-3.965397308197997e-18	46.88297728673356	0.004409485971676515	1.0045145689937116e-05	1.0973663569225266e-08	60.0	0.06288134316229364	70.92166517457476	31.0	103.0
images/00000/SPC-EAWAG-0P5X-1538787638756891-4470175384798-036289-091-962-1160-260-280.jpeg	2018-10-06 03:00:38	105.516	0.40624051212159845	0.17762763295954948	0.0721595405804347	51.2405115454716	0.9137661879885802	0.39280101773553844	0.0038742412140054254	0.0040354312	0.03386876695303789	5.0345617414691515e-08	3.986918364264642e-15	2.4846776710951973e-10	-3.194274391743555e-16	49.56614018508261	0.006457777929216196	2.503599660033268e-05	1.2536275134527298e-07	72.0	0.08068469704547901	78.21404076967042	35.0	110.0	0.03749086356451316	7.360125788121608e-08	8.5155554703835e-15	4.020609530344998e-10	-7.333341936911737e-16	45.39700190369257	0.00720835893916065	3.0588135343519065e-05	1.8322264944428106e-07	63.0	0.08917547834647005	69.43484473232996	30.0	98.0	0.03232604772118258	4.855829089652389e-08	3.741496414492077e-15	2.400496315355378e-10	-3.0097093599535695e-16	49.55515198752508	0.006466418296407642	2.5114238035860327e-05	1.2305568203643732e-07	72.0	0.07709594324284338	78.33654029338922	35.0	111.0	0.03202864327747191	3.533988170160237e-08	1.962580791436331e-15	1.5699122953332687e-10	-1.469609635337075e-16	54.850016887175464	0.005783512019841425	2.0341335127930334e-05	8.775830039003444e-08	79.0	0.07632777584080434	87.86254524671367	40.0	124.0
images/00000/SPC-EAWAG-0P5X-1532219548026772-3933500231513-019379-029-2168-2040-312-340.jpeg	2018-07-22 02:32:28	144.732	0.4370017918435856	0.17026385301312252	0.07440560885292744	-50.35245693976693	0.8994606350060549	0.4719626168224299	0.0039484115718248875	0.0069883919999999995	0.004281192171546947	4.6226526181986774e-10	9.630879900237582e-20	1.3992979832639018e-12	4.335206493143775e-19	41.20907993582511	0.004301286059701641	9.211496343843988e-06	1.9964909859479876e-09	45.0	0.012048059901554818	56.96661166116612	26.0	78.0	0.0027567875277774876	7.114260470963798e-10	1.1864984993094217e-19	2.297055570741724e-12	9.297414585950537e-19	38.88087005345273	0.004649257225849168	1.072583271572338e-05	2.439781764906397e-09	42.0	0.00746621077024392	53.154510451045105	24.0	73.0	0.0045532895623644105	5.193317594939036e-10	1.2453761590549242e-19	1.5678550683741305e-12	5.146606281184272e-19	41.6694436887501	0.00429384245001413	9.169664136575829e-06	2.0017987203781733e-09	45.0	0.012821844554802642	57.08113311331133	26.0	78.0	0.005750546605661065	2.9389749799747196e-10	6.421113148057904e-20	8.222530923533803e-13	1.9172513386106515e-19	44.262114462884306	0.003959669012215063	7.835376777990601e-06	1.6104237967610187e-09	49.0	0.016281302242519675	61.657810781078105	28.0	83.0
images/01000/SPC-EAWAG-0P5X-1539653650464000-5336174301537-056399-063-744-850-468-584.jpeg	2018-10-16 03:34:10	361.478	0.8787147087341735	0.1698719061906496	0.1492689425704355	-35.66818166889206	0.4773473165884739	0.3828555766936446	0.01585437338489586	0.009128346800000001	0.00419764427645224	5.750079674552102e-10	1.2423353893934463e-18	3.5247688319501186e-13	-3.008583115123198e-18	53.2402435656785	0.003534226258977733	4.6531881784555507e-07	5.5728599216876655e-08	63.0	0.008253046853167953	73.41382069314018	27.0	105.0	0.004729173145977679	6.849909531083552e-10	2.734568879153227e-18	4.2715531693787517e-13	-4.09103679932598e-18	49.194482170281454	0.0039186018634937425	5.841049985238344e-07	7.53390405270694e-08	55.0	0.00919768697665647	65.79917463258516	24.0	94.0	0.003952110470756648	5.70782985039303e-10	1.0672984824549707e-18	3.5213530994075056e-13	-3.0241381786380865e-18	53.809230085436056	0.0035253162746040965	4.547475555022451e-07	5.530593291361188e-08	63.0	0.007798109130161977	73.8631406072346	27.0	105.0	0.004122356653281637	4.762235208908926e-10	5.441424987969558e-19	2.756579618932072e-13	-2.0487775752825497e-18	58.03441528564991	0.0031994913922664746	3.7828818888097507e-07	4.1606387761543536e-08	70.0	0.008357748330627121	81.57181959826504	30.0	117.0
images/00000/SPC-EAWAG-0P5X-1532134873290052-3848826660489-036629-069-1216-1560-388-444.jpeg	2018-07-21 03:01:13	230.98	0.4744235122730095	0.16438538831768673	0.07798829329203949	-49.60255888773581	0.880296728951404	0.4486514522821577	0.004188038387411923	0.006317614	0.008160239837988513	2.016478697961443e-09	-8.952986587082078e-19	-2.7402173857754176e-12	-1.155852740730043e-17	46.00680616861241	0.003395717568418305	4.716947258133557e-06	1.6391623034986886e-08	69.0	0.02563053562173439	74.94529966534834	34.0	105.0	0.00789729617768036	2.6206304554411118e-09	-2.374028807246857e-19	-3.5251643737307233e-12	-1.9104742815884267e-17	43.22795236654076	0.0036795869684377383	5.537484815348552e-06	2.0282995592609144e-08	64.0	0.024914789725149256	70.07794341344692	32.0	98.0	0.008458915844148714	2.0549506159644816e-09	-6.314169833064766e-19	-2.7383083044675307e-12	-1.196473738704127e-17	46.088198903359256	0.003406119594568837	4.754330435586435e-06	1.6542837541582638e-08	69.0	0.026575774722361164	74.67794341344691	34.0	105.0	0.008018909107359829	1.5254069787835205e-09	-9.634063588075895e-19	-2.0490451133798524e-12	-6.714196250187428e-18	50.0467242158949	0.0031157415196731964	3.964574567187765e-06	1.2962288158868067e-08	75.0	0.025095665377191264	81.06839062975358	36.0	114.0
images/00000/SPC-EAWAG-0P5X-1535935940999835-1618518662224-031309-038-2544-1302-408-488.jpeg	2018-09-03 02:52:20	274.598	0.6407029554108666	0.16244247597110298	0.10407737443894437	76.9108409802383	0.7677888530890384	0.3976745705140767	0.007370566437470572	0.007020681599999999	0.012419340641532108	5.8808933582338466e-09	8.213610691179825e-17	6.584890953445289e-12	1.8306940312682644e-17	42.85924062217139	0.0033876217498918014	2.12660013439264e-06	3.481724257542016e-08	63.0	0.03597889632713761	69.06959045116075	31.0	99.0	0.012032088371128851	7.800561524663982e-09	1.4417047496006473e-16	9.566057884192879e-12	3.7883733881753346e-17	40.18683958826215	0.0037344227220183495	2.608297749904761e-06	4.681363663469808e-08	56.0	0.034598040021036704	62.09964958388086	27.0	90.0	0.012272065355704659	5.838044624972496e-09	8.088442258156864e-17	6.568416697946647e-12	1.6978979742326137e-17	43.476478292615475	0.003371039185782381	2.1066013474916643e-06	3.432851915515389e-08	63.0	0.035607842159966534	69.76976565922033	31.0	100.0	0.012801019348300165	4.458897176030314e-09	4.734016490473259e-17	4.563468486167106e-12	9.27002858708239e-18	46.12637578581106	0.0030893335914373575	1.754575101317931e-06	2.624935341292221e-08	69.0	0.03716144482699654	76.32763907139729	36.0	109.0
images/00000/SPC-EAWAG-0P5X-1532092795821981-3806749747498-047859-261-646-430-336-412.jpeg	2018-07-20 15:19:55	189.388	0.5429283840511417	0.1613383640991827	0.087595177305824	-85.55736896095765	0.8397790005659918	0.40271351042559267	0.005185452381592103	0.0054196556	0.014110543207302042	7.214949169388826e-09	1.2662002884391837e-16	5.116851739131599e-12	7.717181893721211e-17	46.17445692072715	0.0041123330247885784	5.128400284261204e-06	5.854479608986081e-08	52.0	0.04050538977518953	64.93730051776721	28.0	90.0	0.013957571898634316	9.641902189921797e-09	2.1957045029797195e-16	6.195306866308784e-12	1.614694845054449e-16	41.11278771489938	0.004614505646634033	6.4129024697738506e-06	8.287139394595545e-08	48.0	0.0396300584653954	58.02489538265125	25.0	79.5	0.013908451190624315	7.382651638106169e-09	1.3316287645702131e-16	5.419170552404734e-12	7.954821547531827e-17	46.982757767019834	0.004136358460327022	5.182382605704348e-06	5.979479385951074e-08	51.0	0.04005837857438458	64.92233491737002	27.0	90.0	0.014298980946499437	5.302654227349536e-09	6.923439265151114e-17	3.7947869367926896e-12	3.651808948236732e-17	51.261535541034974	0.003660377636342386	4.0889707037781966e-06	4.109282211853825e-08	58.0	0.041213636766040514	72.85885523796014	31.0	101.0
images/00000/SPC-EAWAG-0P5X-1531225661206116-2939626709828-016509-029-784-1812-344-240.jpeg	2018-07-10 14:27:41	113.038	0.4121643701141113	0.16049728478805875	0.06615126228969537	14.768091892589904	0.9111095060465773	0.41281659459635206	0.0029419315951751284	0.0048807268	0.034108886583168574	2.3989256665399407e-08	3.455830677520594e-16	9.393949789035814e-11	-2.2419833811098744e-16	34.647855219402246	0.0056017437583372005	1.7703158651913567e-05	1.2291712867628642e-08	44.0	0.09664936699008078	53.43388201937466	24.0	79.0	0.03785253249972469	3.44331981905084e-08	7.407784387663227e-16	1.5037664384255253e-10	-4.455431433016874e-16	31.923111322648058	0.006133150528213233	2.1459884422575478e-05	1.8303766012498535e-08	41.0	0.1068638354632194	49.39592029613294	22.0	73.0	0.033450414079720076	2.4424718773770657e-08	3.5499313097941485e-16	9.55539945959008e-11	-2.316797213865428e-16	35.32653610014816	0.005604153257824763	1.7689527271125964e-05	1.2332433060176011e-08	44.0	0.09486956675708441	53.52721115224069	24.0	79.0	0.030962991507569294	1.6304845372966477e-08	1.5392952490638107e-16	5.691706763544739e-11	-1.068811310449124e-16	37.485907966898935	0.005090288746050253	1.4470403596587395e-05	8.101737593265492e-09	48.0	0.08799022490220665	58.379302197369455	27.0	85.0
images/01000/SPC-EAWAG-0P5X-1539741386156180-5423908716069-069759-117-944-100-312-340.jpeg	2018-10-17 03:56:26	139.41	0.4496660487673258	0.16046850083057496	0.07215723672010098	-34.57627922120358	0.8931967558080252	0.4431057968820947	0.0034997594221375045	0.0056268472	0.02040484332330769	1.3482549465245956e-08	2.7142523691772197e-16	1.6360942041806228e-11	-1.3664179664913617e-16	39.17453863187699	0.004428991070379229	8.486251066916807e-06	3.7677859190822567e-08	41.0	0.054791704148342946	51.484219155622355	18.0	79.0	0.020762620030523486	1.8252356700950923e-08	4.916007314449868e-16	2.5903030061298355e-11	-2.365911404214275e-16	34.94683198314448	0.004878736864536395	1.0318470684699607e-05	4.8949036980407624e-08	37.0	0.055732424957386076	46.26779614701462	16.0	70.0	0.020841752625026806	1.3529406581609979e-08	2.735213935166891e-16	1.6582615458456925e-11	-1.343580403626101e-16	40.15263898931039	0.004408242286735526	8.358423135848402e-06	3.749908423329376e-08	40.0	0.05601160838043474	51.89657056974997	18.0	79.0	0.019335599351095648	9.98019840185897e-09	1.4978378669578554e-16	1.0515831183962744e-11	-7.888969864487612e-17	43.354721667950166	0.004037335688050441	7.0758711719333405e-06	2.8829690590837494e-08	44.0	0.05190008459473405	57.28009290886733	21.0	88.0
